$Trinity Lake Br2 inflow year 2016 updated YC 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
1,2.916607674
1.042,2.916607674
1.083,2.916607674
1.125,2.916607674
1.167,2.916607674
1.208,2.916607674
1.25,2.916607674
1.292,2.916607674
1.333,2.916607674
1.375,2.916607674
1.417,2.916607674
1.458,2.916607674
1.5,2.916607674
1.542,2.916607674
1.583,2.916607674
1.625,2.916607674
1.667,2.916607674
1.708,2.916607674
1.75,2.916607674
1.792,2.916607674
1.833,2.916607674
1.875,2.916607674
1.917,2.916607674
1.958,2.916607674
2,3.907687951
2.042,3.907687951
2.083,3.907687951
2.125,3.907687951
2.167,3.907687951
2.208,3.907687951
2.25,3.907687951
2.292,3.907687951
2.333,3.907687951
2.375,3.907687951
2.417,3.907687951
2.458,3.907687951
2.5,3.907687951
2.542,3.907687951
2.583,3.907687951
2.625,3.907687951
2.667,3.907687951
2.708,3.907687951
2.75,3.907687951
2.792,3.907687951
2.833,3.907687951
2.875,3.907687951
2.917,3.907687951
2.958,3.907687951
3,4.360753221
3.042,4.360753221
3.083,4.360753221
3.125,4.360753221
3.167,4.360753221
3.208,4.360753221
3.25,4.360753221
3.292,4.360753221
3.333,4.360753221
3.375,4.360753221
3.417,4.360753221
3.458,4.360753221
3.5,4.360753221
3.542,4.360753221
3.583,4.360753221
3.625,4.360753221
3.667,4.360753221
3.708,4.360753221
3.75,4.360753221
3.792,4.360753221
3.833,4.360753221
3.875,4.360753221
3.917,4.360753221
3.958,4.360753221
4,4.870451649
4.042,4.870451649
4.083,4.870451649
4.125,4.870451649
4.167,4.870451649
4.208,4.870451649
4.25,4.870451649
4.292,4.870451649
4.333,4.870451649
4.375,4.870451649
4.417,4.870451649
4.458,4.870451649
4.5,4.870451649
4.542,4.870451649
4.583,4.870451649
4.625,4.870451649
4.667,4.870451649
4.708,4.870451649
4.75,4.870451649
4.792,4.870451649
4.833,4.870451649
4.875,4.870451649
4.917,4.870451649
4.958,4.870451649
5,13.79017415
5.042,13.79017415
5.083,13.79017415
5.125,13.79017415
5.167,13.79017415
5.208,13.79017415
5.25,13.79017415
5.292,13.79017415
5.333,13.79017415
5.375,13.79017415
5.417,13.79017415
5.458,13.79017415
5.5,13.79017415
5.542,13.79017415
5.583,13.79017415
5.625,13.79017415
5.667,13.79017415
5.708,13.79017415
5.75,13.79017415
5.792,13.79017415
5.833,13.79017415
5.875,13.79017415
5.917,13.79017415
5.958,13.79017415
6,19.4818066
6.042,19.4818066
6.083,19.4818066
6.125,19.4818066
6.167,19.4818066
6.208,19.4818066
6.25,19.4818066
6.292,19.4818066
6.333,19.4818066
6.375,19.4818066
