$Trinity Lake updated withdrawals year 2016 YC 08/31/22,,
",,,",,
Jday,Power generation and Jet (cms),Auxiallary (cms)
95.625,0.0283,0.0283
95.667,0.0283,0.0283
95.708,2.7171962,0.0283
95.75,37.9945612,0.0283
95.792,39.7958845,0.0283
95.833,39.8588803,0.0283
95.875,39.8647101,0.0283
95.917,39.4818677,0.0283
95.958,15.5716788,0.0283
96,27.9962844,0.0283
96.042,23.4962165,0.0283
96.083,23.0924038,0.0283
96.125,23.1733418,0.0283
96.167,22.4319384,0.0283
96.208,24.7660092,0.0283
96.25,2.13665,0.0283
96.292,0.0283,0.0283
96.333,0.0283,0.0283
96.375,0.0283,0.0283
96.417,0.0283,0.0283
96.458,0.0283,0.0283
96.5,0.0283,0.0283
96.542,0.0283,0.0283
96.583,0.0283,0.0283
96.625,0.0283,0.0283
96.667,0.0283,0.0283
96.708,0.0283,0.0283
96.75,0.0283,0.0283
96.792,0.0283,0.0283
96.833,0.0283,0.0283
96.875,0.0283,0.0283
96.917,0.0283,0.0283
96.958,0.0283,0.0283
97,0.0283,0.0283
97.042,0.0283,0.0283
97.083,0.0283,0.0283
97.125,0.0283,0.0283
97.167,0.0283,0.0283
97.208,0.0283,0.0283
97.25,0.0283,0.0283
97.292,0.0283,0.0283
97.333,0.0283,0.0283
97.375,0.0283,0.0283
97.417,0.0283,0.0283
97.458,0.9016663,0.0283
97.5,13.0699022,0.0283
97.542,14.7859293,0.0283
97.583,27.6647499,0.0283
97.625,43.42069,0.0283
97.667,44.2903207,0.0283
97.708,44.2902641,0.0283
97.75,45.0763532,0.0283
97.792,44.4931751,0.0283
97.833,44.1937894,0.0283
97.875,42.6562787,0.0283
97.917,3.3198447,0.0283
97.958,0.0283,0.0283
98,0.0283,0.0283
98.042,0.0283,0.0283
98.083,0.0283,0.0283
98.125,0.0283,0.0283
98.167,0.0283,0.0283
98.208,0.0283,0.0283
98.25,0.0283,0.0283
98.292,0.0283,0.0283
98.333,0.0283,0.0283
98.375,0.0283,0.0283
98.417,0.0283,0.0283
98.458,0.0283,0.0283
98.5,0.0283,0.0283
98.542,0.0283,0.0283
98.583,0.0283,0.0283
98.625,0.0283,0.0283
98.667,2.6048452,0.0283
98.708,42.1538405,0.0283
98.75,44.0326775,0.0283
98.792,43.8657075,0.0283
98.833,44.2182406,0.0283
98.875,42.5471256,0.0283
98.917,3.1416113,0.0283
98.958,0.0283,0.0283
99,0.0283,0.0283
99.042,0.0283,0.0283
99.083,0.0283,0.0283
99.125,0.0283,0.0283
99.167,0.0283,0.0283
99.208,0.0283,0.0283
99.25,0.0283,0.0283
99.292,0.0283,0.0283
99.333,0.0283,0.0283
99.375,0.0283,0.0283
99.417,0.0283,0.0283
99.458,0.0283,0.0283
99.5,0.0283,0.0283
99.542,0.0283,0.0283
99.583,0.0283,0.0283
99.625,0.0283,0.0283
99.667,2.1518754,0.0283
99.708,41.3173208,0.0283
99.75,44.1219074,0.0283
99.792,44.0354792,0.0283
99.833,43.4251614,0.0283
99.875,42.2632766,0.0283
99.917,2.9339742,0.0283
99.958,0.0283,0.0283
100,0.0283,0.0283
100.042,0.0283,0.0283
100.083,0.0283,0.0283
100.125,0.0283,0.0283
100.167,0.0283,0.0283
100.208,0.0283,0.0283
100.25,0.0283,0.0283
100.292,0.0283,0.0283
100.333,0.0283,0.0283
100.375,0.0283,0.0283
100.417,0.0283,0.0283
100.458,0.0283,0.0283
100.5,0.0283,0.0283
100.542,0.0283,0.0283
100.583,0.0283,0.0283
100.625,0.0283,0.0283
100.667,1.8959302,0.0283
100.708,26.4269645,0.0283
100.75,56.3817787,0.0283
100.792,58.7269997,0.0283
100.833,44.7192638,0.0283
100.875,42.4288033,0.0283
100.917,3.075644,0.0283
100.958,0.0283,0.0283
101,0.0283,0.0283
101.042,0.0283,0.0283
101.083,0.0283,0.0283
101.125,0.0283,0.0283
101.167,0.0283,0.0283
101.208,0.0283,0.0283
101.25,0.0283,0.0283
101.292,0.0283,0.0283
101.333,0.0283,0.0283
101.375,0.0283,0.0283
101.417,0.0283,0.0283
101.458,0.0283,0.0283
101.5,0.0283,0.0283
101.542,0.0283,0.0283
101.583,0.0283,0.0283
101.625,0.0283,0.0283
101.667,3.2440856,0.0283
101.708,41.4195687,0.0283
101.75,43.7878542,0.0283
101.792,43.8310117,0.0283
101.833,43.8713109,0.0283
101.875,42.5656338,0.0283
101.917,3.0098465,0.0283
101.958,0.0283,0.0283
102,0.0283,0.0283
102.042,0.0283,0.0283
102.083,0.0283,0.0283
102.125,0.0283,0.0283
102.167,0.0283,0.0283
102.208,0.0283,0.0283
102.25,0.0283,0.0283
102.292,0.0283,0.0283
102.333,0.0283,0.0283
102.375,0.0283,0.0283
102.417,0.0283,0.0283
102.458,0.0283,0.0283
102.5,0.0283,0.0283
102.542,0.0283,0.0283
102.583,2.8275379,0.0283
102.625,42.1625286,0.0283
102.667,52.3751213,0.0283
102.708,52.5482041,0.0283
102.75,43.8325399,0.0283
102.792,43.9260714,0.0283
102.833,43.6510803,0.0283
102.875,42.4906671,0.0283
102.917,3.2376615,0.0283
102.958,0.0283,0.0283
103,0.0283,0.0283
103.042,0.0283,0.0283
103.083,0.0283,0.0283
103.125,0.0283,0.0283
103.167,0.0283,0.0283
103.208,0.0283,0.0283
103.25,0.0283,0.0283
103.292,0.0283,0.0283
103.333,0.0283,0.0283
103.375,0.0283,0.0283
103.417,0.0283,0.0283
103.458,0.0283,0.0283
103.5,0.0283,0.0283
103.542,1.0231582,0.0283
103.583,3.8424325,0.0283
103.625,0.0283,0.0283
103.667,0.0283,0.0283
103.708,2.8393107,0.0283
103.75,41.4714426,0.0283
103.792,43.7777228,0.0283
103.833,43.8209086,0.0283
103.875,42.7081526,0.0283
103.917,2.8521589,0.0283
103.958,0.0283,0.0283
104,0.0283,0.0283
104.042,0.0283,0.0283
104.083,0.0283,0.0283
104.125,0.0283,0.0283
104.167,0.0283,0.0283
104.208,0.0283,0.0283
104.25,0.0283,0.0283
104.292,0.0283,0.0283
104.333,0.0283,0.0283
104.375,0.0283,0.0283
104.417,0.0283,0.0283
104.458,0.0283,0.0283
104.5,0.0283,0.0283
104.542,0.0283,0.0283
104.583,0.0283,0.0283
104.625,0.0283,0.0283
104.667,0.0283,0.0283
104.708,2.3847561,0.0283
104.75,41.7234258,0.0283
104.792,52.2050666,0.0283
104.833,53.1600218,0.0283
104.875,57.3954281,0.0283
104.917,42.971569,0.0283
104.958,2.8894017,0.0283
105,0.0283,0.0283
105.042,0.0283,0.0283
105.083,0.0283,0.0283
105.125,0.0283,0.0283
105.167,0.0283,0.0283
105.208,0.0283,0.0283
105.25,0.0283,0.0283
105.292,0.0283,0.0283
105.333,0.0283,0.0283
105.375,2.6696239,0.0283
105.417,35.2897887,0.0283
105.458,59.9259575,0.0283
105.5,61.6856515,0.0283
105.542,58.8378508,0.0283
105.583,3.6856505,0.0283
105.625,0.0283,0.0283
105.667,0.0283,0.0283
105.708,0.0283,0.0283
105.75,0.0283,0.0283
105.792,0.0283,0.0283
105.833,0.0283,0.0283
105.875,0.0283,0.0283
105.917,0.0283,0.0283
105.958,0.0283,0.0283
106,0.0283,0.0283
106.042,0.0283,0.0283
106.083,0.0283,0.0283
106.125,0.0283,0.0283
106.167,0.0283,0.0283
106.208,0.0283,0.0283
106.25,0.0283,0.0283
106.292,0.0283,0.0283
106.333,0.0283,0.0283
106.375,0.0283,0.0283
106.417,0.0283,0.0283
106.458,0.0283,0.0283
106.5,0.0283,0.0283
106.542,0.0283,0.0283
106.583,0.0283,0.0283
106.625,0.0283,0.0283
106.667,5.9473016,0.0283
106.708,41.8817077,0.0283
106.75,43.5761985,0.0283
106.792,43.5214946,0.0283
106.833,44.1434437,0.0283
106.875,42.6173096,0.0283
106.917,3.1397718,0.0283
106.958,0.0283,0.0283
107,0.0283,0.0283
107.042,0.0283,0.0283
107.083,0.0283,0.0283
107.125,0.0283,0.0283
107.167,0.0283,0.0283
107.208,0.0283,0.0283
107.25,0.0283,0.0283
107.292,0.0283,0.0283
107.333,0.0283,0.0283
107.375,0.0283,0.0283
107.417,0.0283,0.0283
107.458,0.0283,0.0283
107.5,0.0283,0.0283
107.542,0.0283,0.0283
107.583,0.0283,0.0283
107.625,0.0283,0.0283
107.667,0.0283,0.0283
107.708,2.2778953,0.0283
107.75,46.1113974,0.0283
107.792,47.8030299,0.0283
107.833,47.7353363,0.0283
107.875,46.4396774,0.0283
107.917,3.5272837,0.0283
107.958,0.0283,0.0283
108,0.0283,0.0283
108.042,0.0283,0.0283
108.083,0.0283,0.0283
108.125,0.0283,0.0283
108.167,0.0283,0.0283
108.208,0.0283,0.0283
108.25,0.0283,0.0283
108.292,0.0283,0.0283
108.333,0.0283,0.0283
108.375,0.0283,0.0283
108.417,0.0283,0.0283
108.458,0.0283,0.0283
108.5,0.0283,0.0283
108.542,0.0283,0.0283
108.583,0.0283,0.0283
108.625,0.0283,0.0283
108.667,3.1231314,0.0283
108.708,45.405935,0.0283
108.75,47.8519323,0.0283
108.792,47.9642267,0.0283
108.833,47.7267331,0.0283
108.875,46.7621559,0.0283
108.917,3.3419187,0.0283
108.958,0.0283,0.0283
109,0.0283,0.0283
109.042,0.0283,0.0283
109.083,0.0283,0.0283
109.125,0.0283,0.0283
109.167,0.0283,0.0283
109.208,0.0283,0.0283
109.25,0.0283,0.0283
109.292,0.0283,0.0283
109.333,0.0283,0.0283
109.375,0.0283,0.0283
109.417,16.8287365,0.0283
109.458,5.4120637,0.0283
109.5,0.0283,0.0283
109.542,0.0283,0.0283
109.583,0.0283,0.0283
109.625,0.0283,0.0283
109.667,2.5890255,0.0283
109.708,45.7946638,0.0283
109.75,47.7612025,0.0283
109.792,47.6316734,0.0283
109.833,47.6859245,0.0283
109.875,48.1113301,0.0283
109.917,46.6829442,0.0283
109.958,2.9602932,0.0283
110,0.0283,0.0283
110.042,0.0283,0.0283
110.083,0.0283,0.0283
110.125,0.0283,0.0283
110.167,0.0283,0.0283
110.208,0.0283,0.0283
110.25,0.0283,0.0283
110.292,0.0283,0.0283
110.333,0.0283,0.0283
110.375,0.0283,0.0283
110.417,0.0283,0.0283
110.458,0.0283,0.0283
110.5,0.0283,0.0283
110.542,5.5276409,0.0283
110.583,20.4813043,0.0283
110.625,36.259375,0.0283
110.667,21.5409412,0.0283
110.708,20.8107729,0.0283
110.75,20.8675427,0.0283
110.792,20.8431198,0.0283
110.833,20.8424972,0.0283
110.875,20.8362146,0.0283
110.917,20.4017813,0.0283
110.958,2.4326963,0.0283
111,0.0283,0.0283
111.042,0.0283,0.0283
111.083,0.0283,0.0283
111.125,0.0283,0.0283
111.167,0.0283,0.0283
111.208,0.0283,0.0283
111.25,0.0283,0.0283
111.292,0.0283,0.0283
111.333,0.0283,0.0283
111.375,0.0283,0.0283
111.417,0.0283,0.0283
111.458,0.0283,0.0283
111.5,0.0283,0.0283
111.542,0.0283,0.0283
111.583,0.0283,0.0283
111.625,0.0283,0.0283
111.667,0.0283,0.0283
111.708,4.9358879,0.0283
111.75,45.2492945,0.0283
111.792,47.6276548,0.0283
111.833,47.3290049,0.0283
111.875,46.3765967,0.0283
111.917,3.2975726,0.0283
111.958,0.0283,0.0283
112,0.0283,0.0283
112.042,0.0283,0.0283
112.083,0.0283,0.0283
112.125,0.0283,0.0283
112.167,0.0283,0.0283
112.208,0.0283,0.0283
112.25,0.0283,0.0283
112.292,0.0283,0.0283
112.333,0.0283,0.0283
112.375,0.0283,0.0283
112.417,0.0283,0.0283
112.458,0.0283,0.0283
112.5,0.0283,0.0283
112.542,0.0283,0.0283
112.583,2.8087467,0.0283
112.625,44.9538991,0.0283
112.667,47.8317261,0.0283
112.708,47.5294538,0.0283
112.75,47.2688674,0.0283
112.792,47.384105,0.0283
112.833,47.5899026,0.0283
112.875,46.2841406,0.0283
112.917,23.8946805,0.0283
112.958,30.0923805,0.0283
113,2.6273154,0.0283
113.042,0.0283,0.0283
113.083,0.0283,0.0283
113.125,0.0283,0.0283
113.167,0.0283,0.0283
113.208,0.0283,0.0283
113.25,0.0283,0.0283
113.292,0.0283,0.0283
113.333,0.0283,0.0283
113.375,0.0283,0.0283
113.417,0.0283,0.0283
113.458,0.0283,0.0283
113.5,2.9018537,0.0283
113.542,45.5401336,0.0283
113.583,47.1706381,0.0283
113.625,47.7039799,0.0283
113.667,47.7497127,0.0283
113.708,47.123179,0.0283
113.75,47.5370099,0.0283
113.792,47.2368601,0.0283
113.833,47.3148832,0.0283
113.875,46.0724849,0.0283
113.917,3.1188581,0.0283
113.958,0.0283,0.0283
114,0.0283,0.0283
114.042,0.0283,0.0283
114.083,0.0283,0.0283
114.125,0.0283,0.0283
114.167,0.0283,0.0283
114.208,0.0283,0.0283
114.25,0.0283,0.0283
114.292,0.0283,0.0283
114.333,0.0283,0.0283
114.375,0.0283,0.0283
114.417,0.0283,0.0283
114.458,0.0283,0.0283
114.5,2.8406974,0.0283
114.542,44.6256191,0.0283
114.583,47.5510184,0.0283
114.625,47.3408626,0.0283
114.667,47.4157161,0.0283
114.708,47.2430012,0.0283
114.75,46.9204661,0.0283
114.792,47.2429446,0.0283
114.833,47.2113618,0.0283
114.875,46.001933,0.0283
114.917,3.1394039,0.0283
114.958,0.0283,0.0283
115,0.0283,0.0283
115.042,0.0283,0.0283
115.083,0.0283,0.0283
115.125,0.0283,0.0283
115.167,0.0283,0.0283
115.208,0.0283,0.0283
115.25,0.0283,0.0283
115.292,0.0283,0.0283
115.333,0.0283,0.0283
115.375,0.0283,0.0283
115.417,0.0283,0.0283
115.458,0.0283,0.0283
115.5,2.9060987,0.0283
115.542,45.152933,0.0283
115.583,47.0151862,0.0283
115.625,47.3685117,0.0283
115.667,47.2541797,0.0283
115.708,47.4492233,0.0283
115.75,47.0698052,0.0283
115.792,47.4588736,0.0283
115.833,47.3249297,0.0283
115.875,46.2567745,0.0283
115.917,2.6121183,0.0283
115.958,0.0283,0.0283
116,0.0283,0.0283
116.042,0.0283,0.0283
116.083,0.0283,0.0283
116.125,0.0283,0.0283
116.167,0.0283,0.0283
116.208,4.7693141,0.0283
116.25,29.2371828,0.0283
116.292,30.4882409,0.0283
116.333,30.5774991,0.0283
116.375,33.3593325,0.0283
116.417,30.2969895,0.0283
116.458,21.8183661,0.0283
116.5,22.2204242,0.0283
116.542,37.009891,0.0283
116.583,38.0306154,0.0283
116.625,38.1212886,0.0283
116.667,54.0063899,0.0283
116.708,55.0170112,0.0283
116.75,54.978127,0.0283
116.792,55.0184545,0.0283
116.833,54.9710237,0.0283
116.875,53.5026499,0.0283
116.917,3.6171079,0.0283
116.958,0.0283,0.0283
117,0.0283,0.0283
117.042,0.0283,0.0283
117.083,0.0283,0.0283
117.125,0.0283,0.0283
117.167,0.0283,0.0283
117.208,2.3999249,0.0283
117.25,52.1467686,0.0283
117.292,54.6050481,0.0283
117.333,55.0404719,0.0283
117.375,54.8641346,0.0283
117.417,54.9737971,0.0283
117.458,55.0170112,0.0283
117.5,54.9738254,0.0283
117.542,54.9307528,0.0283
117.583,54.9292246,0.0283
117.625,54.973882,0.0283
117.667,55.0170112,0.0283
117.708,55.060197,0.0283
117.75,55.0616969,0.0283
117.792,54.9738254,0.0283
117.833,54.9306679,0.0283
117.875,57.3032833,0.0283
117.917,52.0082401,0.0283
117.958,51.3475483,0.0283
118,51.2194059,0.0283
118.042,51.0450496,0.0283
118.083,50.9154922,0.0283
118.125,51.1416092,0.0283
118.167,51.2207643,0.0283
118.208,51.3372754,0.0283
118.25,51.1328362,0.0283
118.292,51.0322014,0.0283
118.333,51.0869053,0.0283
118.375,51.1789652,0.0283
118.417,51.2970045,0.0283
118.458,51.348935,0.0283
118.5,51.2769964,0.0283
118.542,52.1636637,0.0283
118.583,51.4956422,0.0283
118.625,51.0131555,0.0283
118.667,52.6420186,0.0283
118.708,51.6609142,0.0283
118.75,60.6709267,0.0283
118.792,61.0780788,0.0283
118.833,61.8611398,0.0283
118.875,62.0743237,0.0283
118.917,52.3491136,0.0283
118.958,50.6077863,0.0283
119,4.6545859,0.0283
119.042,0.0283,0.0283
119.083,0.0237154,0.0283
119.125,0.1272368,0.0283
119.167,0.1660361,0.0283
119.208,4.9933935,0.0283
119.25,51.978044,0.0283
119.292,54.6427154,0.0283
119.333,54.5779933,0.0283
119.375,52.3523115,0.0283
119.417,53.0448408,0.0283
119.458,55.1624732,0.0283
119.5,55.1568981,0.0283
119.542,55.2502032,0.0283
119.583,55.1452668,0.0283
119.625,55.3713838,0.0283
119.667,55.3106803,0.0283
119.708,58.7912973,0.0283
119.75,84.6278955,0.0283
119.792,76.839311,0.0283
119.833,61.4898438,0.0283
119.875,57.6286484,0.0283
119.917,56.7306894,0.0283
119.958,17.7072534,0.0283
120,13.3967106,0.0283
120.042,13.1966013,0.0283
120.083,13.4787523,0.0283
120.125,13.9999251,0.0283
120.167,13.1562738,0.0283
120.208,14.4577342,0.0283
120.25,53.3558012,0.0283
120.292,57.3305362,0.0283
120.333,57.3868532,0.0283
120.375,56.7275198,0.0283
120.417,63.9910827,0.0283
120.458,60.7109712,0.0283
120.5,60.444555,0.0283
120.542,61.4754391,0.0283
120.583,76.5035881,0.0283
120.625,79.2670548,0.0283
120.667,78.8085382,0.0283
120.708,80.8028109,0.0283
120.75,113.127835,0.0283
120.792,114.956864,0.0283
120.833,115.2411092,0.0283
120.875,112.6720069,0.0283
120.917,60.051751,0.0283
120.958,54.821062,0.0283
121,55.1611431,0.0283
121.042,54.8875104,0.0283
121.083,55.1899525,0.0283
121.125,54.7292285,0.0283
121.167,54.9738537,0.0283
121.208,54.8298916,0.0283
121.25,55.2057156,0.0283
121.292,58.445443,0.0283
121.333,93.5740349,0.0283
121.375,95.5722979,0.0283
121.417,95.8658255,0.0283
121.458,95.426751,0.0283
121.5,95.5563367,0.0283
121.542,95.5534784,0.0283
121.583,95.6470099,0.0283
121.625,96.1985203,0.0283
121.667,95.7102321,0.0283
121.708,97.577551,0.0283
121.75,114.2342801,0.0283
121.792,115.5187605,0.0283
121.833,114.7081636,0.0283
121.875,112.9171415,0.0283
121.917,63.3037606,0.0283
121.958,60.7411956,0.0283
122,61.4495163,0.0283
122.042,60.6993682,0.0283
122.083,61.2753298,0.0283
122.125,60.676332,0.0283
122.167,59.6038752,0.0283
122.208,60.3132713,0.0283
122.25,61.1661767,0.0283
122.292,61.3138178,0.0283
122.333,61.5045315,0.0283
122.375,61.0463262,0.0283
122.417,60.3103847,0.0283
122.458,59.9036571,0.0283
122.5,59.4221609,0.0283
122.542,60.2433137,0.0283
122.583,60.4961176,0.0283
122.625,60.8621498,0.0283
122.667,61.7176022,0.0283
122.708,58.6360435,0.0283
122.75,56.6625996,0.0283
122.792,57.0312071,0.0283
122.833,81.4572201,3.2340391
122.875,97.0163054,0.0283
122.917,97.8828514,0.0283
122.958,97.050605,0.0283
123,66.5243289,0.0283
123.042,61.5819886,0.0283
123.083,61.4983904,0.0283
123.125,55.6851459,0.0283
123.167,51.8124607,0.0283
123.208,57.614272,0.0283
123.25,75.8906667,0.0283
123.292,77.8197928,0.0283
123.333,78.8979945,0.0283
123.375,78.7354676,0.0283
123.417,79.2594138,0.0283
123.458,78.7930581,0.0283
123.5,78.484956,0.0283
123.542,78.384208,0.0283
123.583,85.8357112,0.0283
123.625,85.8229479,0.0283
123.667,85.7480378,0.0283
123.708,86.9054512,0.0283
123.75,113.8012335,0.0283
123.792,117.2547957,0.0283
123.833,115.0824311,0.0283
123.875,113.7131922,0.0283
123.917,62.4068487,0.0283
123.958,60.2819432,0.0283
124,59.5372853,0.0283
124.042,60.1411507,0.0283
124.083,60.0674292,0.0283
124.125,60.1292647,0.0283
124.167,60.7627319,0.0283
124.208,60.2286543,0.0283
124.25,60.6361177,0.0283
124.292,61.9659064,0.0283
124.333,61.9638122,0.0283
124.375,61.7484775,0.0283
124.417,57.0415932,0.0283
124.458,58.8894417,0.0283
124.5,62.5407077,0.0283
124.542,62.3809825,0.0283
124.583,62.0080734,0.0283
124.625,59.0255364,0.0283
124.667,108.8080947,0.0283
124.708,113.2943522,0.0283
124.75,112.1714931,0.0283
124.792,111.9842886,0.0283
124.833,111.9122368,0.0283
124.875,111.6099362,0.0283
124.917,111.710571,0.0283
124.958,112.7284654,0.0283
125,79.7876899,0.0283
125.042,68.5051308,0.0283
125.083,62.4039055,0.0283
125.125,60.9470498,0.0283
125.167,63.0100632,0.0283
125.208,102.9706537,0.0283
125.25,115.2837856,0.0283
125.292,115.1528132,0.0283
125.333,114.5267606,0.0283
125.375,96.6318499,0.0283
125.417,96.7311263,0.0283
125.458,94.5313107,0.0283
125.5,95.1763526,0.0283
125.542,94.9243977,0.0283
125.583,95.3821785,0.0283
125.625,103.9220714,0.0283
125.667,114.5179593,0.0283
125.708,114.9009998,0.0283
125.75,114.9556754,0.0283
125.792,115.5429287,0.0283
125.833,115.256561,0.0283
125.875,114.4533221,0.0283
125.917,79.6827535,0.0283
125.958,77.0089978,0.0283
126,56.1689344,0.0283
126.042,54.8356648,0.0283
126.083,55.452152,0.0283
126.125,55.4720469,0.0283
126.167,54.9475913,0.0283
126.208,57.8204941,0.0283
126.25,76.9704532,0.0283
126.292,77.563508,0.0283
126.333,77.7405528,0.0283
126.375,77.6715857,0.0283
126.417,78.0299203,0.0283
126.458,79.1400161,0.0283
126.5,112.3700742,0.0283
126.542,115.1587279,0.0283
126.583,115.8137031,0.0283
126.625,115.3744305,0.0283
126.667,114.6330271,0.0283
126.708,114.8347495,0.0283
126.75,115.450982,0.0283
126.792,115.14138,0.0283
126.833,115.39042,0.0283
126.875,114.0675365,0.0283
126.917,80.2829399,0.0283
126.958,78.3235894,0.0283
127,94.3501058,0.0283
127.042,95.2583943,0.0283
127.083,95.0595302,0.0283
127.125,95.1027726,0.0283
127.167,95.1663627,0.0283
127.208,94.9776583,0.0283
127.25,95.0078261,0.0283
127.292,94.7631443,0.0283
127.333,95.0423238,0.0283
127.375,96.1908227,0.0283
127.417,105.5680843,0.0283
127.458,107.8062464,0.0283
127.5,114.8606723,0.0283
127.542,114.9599487,0.0283
127.583,115.5086008,0.0283
127.625,114.7654994,0.0283
127.667,114.6994189,0.0283
127.708,115.3011901,0.0283
127.75,115.2080265,0.0283
127.792,114.959977,0.0283
127.833,114.4456811,0.0283
127.875,115.4955828,0.0283
127.917,115.2249782,0.0283
127.958,113.8399196,0.0283
128,89.2910563,0.0283
128.042,93.280196,0.0283
128.083,94.6278703,0.0283
128.125,94.0173544,0.0283
128.167,93.9697821,0.0283
128.208,95.6281621,0.0283
128.25,112.6924678,0.0283
128.292,114.4346724,0.0283
128.333,115.0174826,0.0283
128.375,115.7893368,0.0283
128.417,115.0047193,0.0283
128.458,114.9642503,0.0283
128.5,115.1801793,0.0283
128.542,117.1164653,0.0283
128.583,129.2602217,0.0283
128.625,129.6054817,0.0283
128.667,129.3831852,0.0283
128.708,130.1822074,0.0283
128.75,129.812383,0.0283
128.792,130.1876976,0.0283
128.833,130.3932405,0.0283
128.875,130.288106,0.0283
128.917,129.9182533,0.0283
128.958,130.158492,0.0283
129,129.8959529,0.0283
129.042,130.460736,0.0283
129.083,127.5943422,0.0283
129.125,125.9315474,0.0283
129.167,130.2896908,0.0283
129.208,128.9983052,0.0283
129.25,129.7723385,0.0283
129.292,130.7763093,0.0283
129.333,130.6638168,0.0283
129.375,130.7443586,0.0283
129.417,130.9877386,0.0283
129.458,130.7325858,0.0283
129.5,151.8395748,0.0283
129.542,188.3245574,0.0283
129.583,188.732417,0.0283
129.625,188.9527608,0.0283
129.667,188.6446587,0.0283
129.708,188.9193951,0.0283
129.75,188.7294455,0.0283
129.792,188.5697203,0.0283
129.833,188.3365283,0.0283
129.875,188.3321418,0.0283
129.917,188.824675,0.0283
129.958,188.3926189,0.0283
130,188.4788773,0.0283
130.042,188.5047435,0.0283
130.083,188.4298617,0.0283
130.125,188.5221763,0.0283
130.167,188.7641413,0.0283
130.208,188.4514546,0.0283
130.25,188.0988649,0.0283
130.292,187.4151935,0.0283
130.333,180.3320148,0.0283
130.375,201.2972774,0.0283
130.417,251.1081923,0.0283
130.458,241.2780741,0.0283
130.5,274.1780976,0.0283
130.542,285.4084149,0.0283
130.583,283.7136128,0.0283
130.625,283.24621,0.0283
130.667,284.6287499,0.0283
130.708,285.9945928,0.0283
130.75,284.5943937,0.0283
130.792,282.4406222,0.0283
130.833,276.3162475,0.0283
130.875,276.4127505,0.0283
130.917,276.4272118,0.0283
130.958,277.0692539,0.0283
131,269.1511403,0.0283
131.042,267.1040315,0.0283
131.083,274.3108529,0.0283
131.125,276.8489384,0.0283
131.167,276.0528028,0.0283
131.208,276.8129408,0.0283
131.25,276.7784431,0.0283
131.292,277.7602833,0.0283
131.333,276.8878226,0.0283
131.375,271.0054412,0.0283
131.417,226.3050818,0.0283
131.458,172.5311198,0.0283
131.5,172.4118353,0.0283
131.542,172.3735737,0.0283
131.583,172.4224195,0.0283
131.625,172.3617726,0.0283
131.667,188.2755135,0.0283
131.708,220.5013178,0.0283
131.75,262.5421281,0.0283
131.792,261.82311,0.0283
131.833,262.4196457,0.0283
131.875,261.2055191,0.0283
131.917,262.184784,0.0283
131.958,256.0529947,0.0283
132,246.651763,0.0283
132.042,228.7527205,0.0283
132.083,226.8506775,0.0283
132.125,226.8679688,0.0283
132.167,226.9279082,0.0283
132.208,227.9474723,0.0283
132.25,243.4611927,0.0283
132.292,243.587156,0.0283
132.333,243.3337578,0.0283
132.375,243.2403678,0.0283
132.417,237.8828948,0.0283
132.458,196.207296,0.0283
132.5,189.7838469,0.0283
132.542,184.0213443,0.0283
132.583,171.2822125,0.0283
132.625,171.3003528,0.0283
132.667,171.6759504,0.0283
132.708,171.9359142,0.0283
132.75,172.170691,0.0283
132.792,172.043624,0.0283
132.833,176.1880175,0.0283
132.875,174.4824331,0.0283
132.917,175.4677259,0.0283
132.958,173.6081895,0.0283
133,168.9762719,0.0283
133.042,171.2320083,0.0283
133.083,171.655065,0.0283
133.125,171.6970622,0.0283
133.167,171.9048408,0.0283
133.208,171.8939736,0.0283
133.25,171.8234217,0.0283
133.292,171.3060411,0.0283
133.333,167.931068,0.0283
133.375,166.1561486,0.0283
133.417,148.5105043,0.0283
133.458,134.4270942,0.0283
133.5,171.7843677,0.0283
133.542,172.8855207,0.0283
133.583,172.9847688,0.0283
133.625,172.9709018,0.0283
133.667,173.2279224,0.0283
133.708,173.0691028,0.0283
133.75,172.9674209,0.0283
133.792,173.1054966,0.0283
133.833,173.0799134,0.0283
133.875,173.0422461,0.0283
133.917,173.0489532,0.0283
133.958,171.9466682,0.0283
134,147.5102974,0.0283
134.042,146.4500379,0.0283
134.083,146.4498398,0.0283
134.125,146.456179,0.0283
134.167,146.3917116,0.0283
134.208,146.3194334,0.0283
134.25,146.4112386,0.0283
134.292,146.3719016,0.0283
134.333,146.445991,0.0283
134.375,185.7459463,0.0283
134.417,276.7406343,0.0283
134.458,275.6780542,0.0283
134.5,265.21628,0.0283
134.542,274.9301418,0.0283
134.583,276.3160494,0.0283
134.625,276.3335105,0.0283
134.667,276.2576382,0.0283
134.708,276.3481133,0.0283
134.75,276.3744889,0.0283
134.792,276.3832619,0.0283
134.833,276.3759322,0.0283
134.875,276.2284609,0.0283
134.917,275.5766553,0.0283
134.958,276.218471,0.0283
135,276.3127666,0.0283
135.042,276.3072198,0.0283
135.083,276.2698072,0.0283
135.125,276.2926736,0.0283
135.167,276.2224047,0.0283
135.208,276.281014,0.0283
135.25,276.2464314,0.0283
135.292,276.3408402,0.0283
135.333,276.3561505,0.0283
135.375,276.3930537,0.0283
135.417,276.2896172,0.0283
135.458,276.2274421,0.0283
135.5,276.3247658,0.0283
135.542,279.0545555,0.0283
135.583,227.6852162,0.0283
