$Trinity Lake updated withdrawals year 2016 YC 08/31/22,,
",,,",,
Jday,Power generation and Jet (cms),Auxiallary (cms)
10.125,0.0283,0.0283
10.167,0.0283,0.0283
10.208,0.0283,0.0283
10.25,0.0283,0.0283
10.292,0.0283,0.0283
10.333,0.0283,0.0283
10.375,0.0283,0.0283
10.417,0.0283,0.0283
10.458,0.0283,0.0283
10.5,1.913646,0.0283
10.542,37.8059134,0.0283
10.583,40.0949589,0.0283
10.625,40.418909,0.0283
10.667,40.4603685,0.0283
10.708,40.3930145,0.0283
10.75,40.0763092,0.0283
10.792,40.1641241,0.0283
10.833,39.3060681,0.0283
10.875,3.467033,0.0283
10.917,0.0283,0.0283
10.958,0.0283,0.0283
11,0.0283,0.0283
11.042,0.0283,0.0283
11.083,0.0283,0.0283
11.125,0.0283,0.0283
11.167,0.0283,0.0283
11.208,0.0283,0.0283
11.25,0.0283,0.0283
11.292,0.0283,0.0283
11.333,0.0283,0.0283
11.375,3.1059533,0.0283
11.417,37.8937849,0.0283
11.458,40.0820258,0.0283
11.5,39.9957108,0.0283
11.542,40.272032,0.0283
11.583,40.1511344,0.0283
11.625,39.9092543,0.0283
11.667,40.2058666,0.0283
11.708,40.3454705,0.0283
11.75,39.9812495,0.0283
11.792,40.1986501,0.0283
11.833,40.1468328,0.0283
11.875,36.349086,0.0283
11.917,28.4032667,0.0283
11.958,2.4852777,0.0283
12,0.0283,0.0283
12.042,0.0283,0.0283
12.083,0.0283,0.0283
12.125,0.0283,0.0283
12.167,0.0283,0.0283
12.208,0.0283,0.0283
12.25,1.5645655,0.0283
12.292,16.4300178,0.0283
12.333,38.8583621,0.0283
12.375,39.9176028,0.0283
12.417,39.9999841,0.0283
12.458,27.011501,0.0283
12.5,39.4053728,0.0283
12.542,39.0239454,0.0283
12.583,2.8293491,0.0283
12.625,0.0283,0.0283
12.667,0.0283,0.0283
12.708,0.0283,0.0283
12.75,0.0283,0.0283
12.792,0.0283,0.0283
12.833,0.0283,0.0283
12.875,0.0283,0.0283
12.917,0.0283,0.0283
12.958,0.0283,0.0283
13,1.8834216,0.0283
13.042,37.8160165,0.0283
13.083,40.2116115,0.0283
13.125,40.187132,0.0283
13.167,38.9807879,0.0283
13.208,2.9962625,0.0283
13.25,0.0283,0.0283
13.292,0.0283,0.0283
13.333,0.0283,0.0283
13.375,0.0283,0.0283
13.417,0.0283,0.0283
13.458,0.0283,0.0283
13.5,0.0283,0.0283
13.542,0.0283,0.0283
13.583,0.0283,0.0283
13.625,0.0283,0.0283
13.667,0.0283,0.0283
13.708,0.0283,0.0283
13.75,1.7509776,0.0283
13.792,37.5813812,0.0283
13.833,40.1425595,0.0283
13.875,40.0560747,0.0283
13.917,39.935262,0.0283
13.958,35.0779632,0.0283
14,3.0510513,0.0283
14.042,0.0283,0.0283
14.083,0.0283,0.0283
14.125,0.0283,0.0283
14.167,0.0283,0.0283
14.208,0.0283,0.0283
14.25,1.8916569,0.0283
14.292,37.572778,0.0283
14.333,39.7768103,0.0283
14.375,39.8085346,0.0283
14.417,39.9927676,0.0283
14.458,39.8632668,0.0283
14.5,39.8948496,0.0283
14.542,40.1943485,0.0283
14.583,39.1967452,0.0283
14.625,3.1673077,0.0283
14.667,0.0283,0.0283
14.708,0.0283,0.0283
14.75,0.0283,0.0283
14.792,0.0283,0.0283
14.833,0.0283,0.0283
14.875,0.0283,0.0283
14.917,0.0283,0.0283
14.958,0.0283,0.0283
15,0.0283,0.0283
15.042,0.0283,0.0283
15.083,0.0283,0.0283
15.125,0.0283,0.0283
15.167,0.0283,0.0283
15.208,0.0283,0.0283
15.25,2.8184536,0.0283
15.292,37.3078051,0.0283
15.333,40.0791675,0.0283
15.375,39.2960782,0.0283
15.417,3.1518276,0.0283
15.458,0.0283,0.0283
15.5,0.0283,0.0283
15.542,0.0283,0.0283
15.583,2.5639517,0.0283
15.625,43.0824484,0.0283
15.667,46.1160952,0.0283
15.708,45.8163416,0.0283
15.75,44.4645072,0.0283
15.792,3.0780778,0.0283
15.833,0.0283,0.0283
15.875,0.0283,0.0283
15.917,0.0283,0.0283
15.958,0.0283,0.0283
16,0.0283,0.0283
16.042,0.0283,0.0283
16.083,0.0283,0.0283
16.125,0.0283,0.0283
16.167,0.0283,0.0283
16.208,0.0283,0.0283
16.25,0.0283,0.0283
16.292,0.0283,0.0283
16.333,0.0283,0.0283
16.375,0.0283,0.0283
16.417,0.0283,0.0283
16.458,0.0283,0.0283
16.5,0.0283,0.0283
16.542,1.5058147,0.0283
16.583,27.4318692,0.0283
16.625,28.5792927,0.0283
16.667,29.1061821,0.0283
16.708,25.0666118,0.0283
16.75,2.0501652,0.0283
16.792,0.0283,0.0283
16.833,0.0283,0.0283
16.875,0.0283,0.0283
16.917,0.0283,0.0283
16.958,0.0283,0.0283
17,0.0283,0.0283
17.042,0.0283,0.0283
17.083,0.0283,0.0283
17.125,0.0283,0.0283
17.167,0.0283,0.0283
17.208,0.0283,0.0283
17.25,0.0283,0.0283
17.292,0.0283,0.0283
17.333,0.0283,0.0283
17.375,0.0283,0.0283
17.417,0.0283,0.0283
17.458,0.0283,0.0283
17.5,0.0283,0.0283
17.542,0.0283,0.0283
17.583,0.0283,0.0283
17.625,0.0283,0.0283
17.667,0.0283,0.0283
17.708,0.0283,0.0283
17.75,0.0283,0.0283
17.792,0.0283,0.0283
17.833,0.0283,0.0283
17.875,0.0283,0.0283
17.917,0.0283,0.0283
17.958,0.0283,0.0283
18,0.0283,0.0283
18.042,0.0283,0.0283
18.083,0.0283,0.0283
18.125,0.0283,0.0283
18.167,0.0283,0.0283
18.208,0.0283,0.0283
18.25,0.0283,0.0283
18.292,0.0283,0.0283
18.333,0.0283,0.0283
18.375,0.0283,0.0283
18.417,0.0283,0.0283
18.458,0.0283,0.0283
18.5,0.0283,0.0283
18.542,0.0283,0.0283
18.583,0.0283,0.0283
18.625,0.0283,0.0283
18.667,0.0283,0.0283
18.708,1.0509771,0.0283
18.75,15.4985799,0.0283
18.792,15.9837268,0.0283
18.833,15.9808402,0.0283
18.875,15.8739511,0.0283
18.917,16.2777638,0.0283
18.958,16.0168378,0.0283
19,16.7079238,0.0283
19.042,34.830225,0.0283
19.083,30.2090331,0.0283
19.125,2.8171235,0.0283
19.167,0.0283,0.0283
19.208,0.0283,0.0283
19.25,0.0283,0.0283
19.292,0.0283,0.0283
19.333,0.0283,0.0283
19.375,0.0283,0.0283
19.417,0.0283,0.0283
19.458,0.0283,0.0283
19.5,0.0283,0.0283
19.542,0.0283,0.0283
19.583,0.0283,0.0283
19.625,0.0283,0.0283
19.667,0.0283,0.0283
19.708,0.0283,0.0283
19.75,0.0283,0.0283
19.792,0.0283,0.0283
19.833,0.0283,0.0283
19.875,0.0283,0.0283
19.917,0.0283,0.0283
19.958,0.0283,0.0283
20,0.0283,0.0283
20.042,0.0283,0.0283
20.083,0.0283,0.0283
20.125,0.0283,0.0283
20.167,0.0283,0.0283
20.208,0.0283,0.0283
20.25,0.0283,0.0283
20.292,0.0283,0.0283
20.333,0.0283,0.0283
20.375,0.0283,0.0283
20.417,0.0283,0.0283
20.458,0.0283,0.0283
20.5,0.0283,0.0283
20.542,0.0283,0.0283
20.583,0.0283,0.0283
20.625,0.0283,0.0283
20.667,0.0283,0.0283
20.708,0.0283,0.0283
20.75,0.0283,0.0283
20.792,0.0283,0.0283
20.833,0.0283,0.0283
20.875,0.0283,0.0283
20.917,0.0283,0.0283
20.958,0.0283,0.0283
21,0.0283,0.0283
21.042,0.0283,0.0283
21.083,0.0283,0.0283
21.125,0.0283,0.0283
21.167,0.0283,0.0283
21.208,0.0283,0.0283
21.25,0.0283,0.0283
21.292,0.0283,0.0283
21.333,0.0283,0.0283
21.375,0.0283,0.0283
21.417,0.0283,0.0283
21.458,0.0283,0.0283
21.5,0.0283,0.0283
21.542,0.0283,0.0283
21.583,0.0283,0.0283
21.625,0.0283,0.0283
21.667,0.0283,0.0283
21.708,0.0283,0.0283
21.75,0.0283,0.0283
21.792,0.0283,19.249094
21.833,0.0283,0.0283
21.875,0.0283,0.0283
21.917,0.0283,0.0283
21.958,0.0283,0.0283
22,0.0283,0.0283
22.042,0.0283,0.0283
22.083,0.0283,0.0283
22.125,0.0283,0.0283
22.167,0.0283,0.0283
22.208,0.0283,0.0283
22.25,0.0283,0.0283
22.292,0.0283,0.0283
22.333,0.0283,0.0283
22.375,0.0283,0.0283
22.417,0.0283,0.0283
22.458,3.796162,0.0283
22.5,24.3783558,0.0283
22.542,22.912812,0.0283
22.583,1.6902458,0.0283
22.625,0.0283,0.0283
22.667,0.0283,0.0283
22.708,1.6739167,0.0283
22.75,35.5558653,0.0283
22.792,38.3890632,0.0283
22.833,37.6980904,0.0283
22.875,36.8313746,0.0283
22.917,36.9897414,0.0283
22.958,2.806511,0.0283
23,0.0283,0.0283
23.042,0.0283,0.0283
23.083,0.0283,0.0283
23.125,0.0283,0.0283
23.167,0.0283,0.0283
23.208,0.0283,0.0283
23.25,0.0283,0.0283
23.292,0.0283,0.0283
23.333,0.0283,0.0283
23.375,0.0283,0.0283
23.417,0.0283,0.0283
23.458,0.0283,0.0283
23.5,0.0283,0.0283
23.542,0.0283,0.0283
23.583,0.0283,0.0283
23.625,0.0283,0.0283
23.667,0.0283,0.0283
23.708,0.0283,0.0283
23.75,0.0283,0.0283
23.792,2.4705051,0.0283
23.833,39.3440184,0.0283
23.875,35.0981694,0.0283
23.917,36.9869397,0.0283
23.958,2.8570548,0.0283
24,0.0283,0.0283
24.042,0.0283,0.0283
24.083,0.0283,0.0283
24.125,0.0283,0.0283
24.167,0.0283,0.0283
24.208,0.0283,0.0283
24.25,0.0283,0.0283
24.292,0.0283,0.0283
24.333,0.0283,0.0283
24.375,0.0283,0.0283
24.417,0.0283,0.0283
24.458,0.0283,0.0283
24.5,0.0283,0.0283
24.542,0.0283,0.0283
24.583,1.9446062,0.0283
24.625,15.1703282,0.0283
24.667,16.0600236,0.0283
24.708,26.9539105,0.0283
24.75,30.4148024,0.0283
24.792,35.6307188,0.0283
24.833,16.8043419,0.0283
24.875,16.0830881,0.0283
24.917,15.757723,0.0283
24.958,15.9894717,0.0283
25,15.6814262,0.0283
25.042,1.4422812,0.0283
25.083,0.0283,0.0283
25.125,0.0283,0.0283
25.167,0.0283,0.0283
25.208,0.0283,0.0283
25.25,1.7797587,0.0283
25.292,35.3241166,0.0283
25.333,37.5483551,0.0283
25.375,37.6131338,0.0283
25.417,37.6894306,0.0283
25.458,37.2013971,0.0283
25.5,36.5776651,0.0283
25.542,3.1909665,0.0283
