$Trinity Lake Br3 inflow year 2016 updated YC 08/25/22,
",,,",
Jday,USBR TL Inflow (QI)
1,0.906130539
1.042,0.906130539
1.083,0.906130539
1.125,0.906130539
1.167,0.906130539
1.208,0.906130539
1.25,0.906130539
1.292,0.906130539
1.333,0.906130539
1.375,0.906130539
1.417,0.906130539
1.458,0.906130539
1.5,0.906130539
1.542,0.906130539
1.583,0.906130539
1.625,0.906130539
1.667,0.906130539
1.708,0.906130539
1.75,0.906130539
1.792,0.906130539
1.833,0.906130539
1.875,0.906130539
1.917,0.906130539
1.958,0.906130539
2,1.217612912
2.042,1.217612912
2.083,1.217612912
2.125,1.217612912
2.167,1.217612912
2.208,1.217612912
2.25,1.217612912
2.292,1.217612912
2.333,1.217612912
2.375,1.217612912
2.417,1.217612912
2.458,1.217612912
2.5,1.217612912
2.542,1.217612912
2.583,1.217612912
2.625,1.217612912
2.667,1.217612912
2.708,1.217612912
2.75,1.217612912
2.792,1.217612912
2.833,1.217612912
2.875,1.217612912
2.917,1.217612912
2.958,1.217612912
3,1.359195809
3.042,1.359195809
3.083,1.359195809
3.125,1.359195809
3.167,1.359195809
3.208,1.359195809
3.25,1.359195809
3.292,1.359195809
3.333,1.359195809
3.375,1.359195809
3.417,1.359195809
3.458,1.359195809
3.5,1.359195809
3.542,1.359195809
3.583,1.359195809
3.625,1.359195809
3.667,1.359195809
3.708,1.359195809
3.75,1.359195809
3.792,1.359195809
3.833,1.359195809
3.875,1.359195809
3.917,1.359195809
3.958,1.359195809
4,1.500778706
4.042,1.500778706
4.083,1.500778706
4.125,1.500778706
4.167,1.500778706
4.208,1.500778706
4.25,1.500778706
4.292,1.500778706
4.333,1.500778706
4.375,1.500778706
4.417,1.500778706
4.458,1.500778706
4.5,1.500778706
4.542,1.500778706
4.583,1.500778706
4.625,1.500778706
4.667,1.500778706
4.708,1.500778706
4.75,1.500778706
4.792,1.500778706
4.833,1.500778706
4.875,1.500778706
4.917,1.500778706
4.958,1.500778706
5,4.247486904
5.042,4.247486904
5.083,4.247486904
5.125,4.247486904
5.167,4.247486904
5.208,4.247486904
5.25,4.247486904
5.292,4.247486904
5.333,4.247486904
5.375,4.247486904
5.417,4.247486904
5.458,4.247486904
5.5,4.247486904
5.542,4.247486904
5.583,4.247486904
5.625,4.247486904
5.667,4.247486904
5.708,4.247486904
5.75,4.247486904
5.792,4.247486904
5.833,4.247486904
5.875,4.247486904
5.917,4.247486904
5.958,4.247486904
6,6.031431403
6.042,6.031431403
6.083,6.031431403
6.125,6.031431403
6.167,6.031431403
6.208,6.031431403
6.25,6.031431403
6.292,6.031431403
6.333,6.031431403
6.375,6.031431403
