$Trinity Lake spillway release year 2016 YC 08/25/22,
",,,",
Jday,TRN / Spill Flow / Spill Release - cms
15.667,0.0283
15.708,0.0283
15.75,0.0283
15.792,0.0283
15.833,0.0283
15.875,0.0283
15.917,0.0283
15.958,0.0283
16,0.0283
16.042,0.0283
16.083,0.0283
16.125,0.0283
16.167,0.0283
16.208,0.0283
16.25,0.0283
16.292,0.0283
16.333,0.0283
16.375,0.0283
16.417,0.0283
16.458,0.0283
16.5,0.0283
16.542,0.0283
16.583,0.0283
16.625,0.0283
16.667,0.0283
16.708,0.0283
16.75,0.0283
16.792,0.0283
16.833,0.0283
16.875,0.0283
16.917,0.0283
16.958,0.0283
17,0.0283
17.042,0.0283
17.083,0.0283
17.125,0.0283
17.167,0.0283
17.208,0.0283
17.25,0.0283
17.292,0.0283
17.333,0.0283
17.375,0.0283
17.417,0.0283
17.458,0.0283
17.5,0.0283
17.542,0.0283
17.583,0.0283
17.625,0.0283
17.667,0.0283
17.708,0.0283
17.75,0.0283
17.792,0.0283
17.833,0.0283
17.875,0.0283
17.917,0.0283
17.958,0.0283
18,0.0283
18.042,0.0283
18.083,0.0283
18.125,0.0283
18.167,0.0283
18.208,0.0283
18.25,0.0283
18.292,0.0283
18.333,0.0283
18.375,0.0283
18.417,0.0283
18.458,0.0283
18.5,0.0283
18.542,0.0283
18.583,0.0283
18.625,0.0283
18.667,0.0283
18.708,0.0283
18.75,0.0283
18.792,0.0283
18.833,0.0283
18.875,0.0283
18.917,0.0283
18.958,0.0283
19,0.0283
19.042,0.0283
19.083,0.0283
19.125,0.0283
19.167,0.0283
19.208,0.0283
19.25,0.0283
19.292,0.0283
19.333,0.0283
19.375,0.0283
19.417,0.0283
19.458,0.0283
19.5,0.0283
19.542,0.0283
19.583,0.0283
19.625,0.0283
19.667,0.0283
19.708,0.0283
19.75,0.0283
19.792,0.0283
19.833,0.0283
19.875,0.0283
19.917,0.0283
19.958,0.0283
20,0.0283
20.042,0.0283
20.083,0.0283
20.125,0.0283
20.167,0.0283
20.208,0.0283
20.25,0.0283
20.292,0.0283
20.333,0.0283
20.375,0.0283
20.417,0.0283
20.458,0.0283
20.5,0.0283
20.542,0.0283
20.583,0.0283
20.625,0.0283
20.667,0.0283
20.708,0.0283
20.75,0.0283
20.792,0.0283
20.833,0.0283
20.875,0.0283
20.917,0.0283
20.958,0.0283
21,0.0283
21.042,0.0283
21.083,0.0283
21.125,0.0283
21.167,0.0283
21.208,0.0283
21.25,0.0283
21.292,0.0283
21.333,0.0283
21.375,0.0283
21.417,0.0283
21.458,0.0283
21.5,0.0283
21.542,0.0283
21.583,0.0283
21.625,0.0283
21.667,0.0283
21.708,0.0283
21.75,0.0283
21.792,0.0283
21.833,0.0283
21.875,0.0283
21.917,0.0283
21.958,0.0283
22,0.0283
22.042,0.0283
22.083,0.0283
22.125,0.0283
22.167,0.0283
22.208,0.0283
22.25,0.0283
22.292,0.0283
22.333,0.0283
22.375,0.0283
22.417,0.0283
22.458,0.0283
22.5,0.0283
22.542,0.0283
22.583,0.0283
22.625,0.0283
22.667,0.0283
22.708,0.0283
22.75,0.0283
22.792,0.0283
22.833,0.0283
22.875,0.0283
22.917,0.0283
22.958,0.0283
23,0.0283
23.042,0.0283
23.083,0.0283
23.125,0.0283
23.167,0.0283
23.208,0.0283
23.25,0.0283
23.292,0.0283
23.333,0.0283
23.375,0.0283
23.417,0.0283
23.458,0.0283
23.5,0.0283
23.542,0.0283
23.583,0.0283
23.625,0.0283
23.667,0.0283
23.708,0.0283
23.75,0.0283
23.792,0.0283
23.833,0.0283
23.875,0.0283
23.917,0.0283
23.958,0.0283
24,0.0283
24.042,0.0283
24.083,0.0283
24.125,0.0283
24.167,0.0283
24.208,0.0283
24.25,0.0283
24.292,0.0283
24.333,0.0283
24.375,0.0283
24.417,0.0283
24.458,0.0283
24.5,0.0283
24.542,0.0283
24.583,0.0283
24.625,0.0283
24.667,0.0283
24.708,0.0283
24.75,0.0283
24.792,0.0283
24.833,0.0283
24.875,0.0283
24.917,0.0283
24.958,0.0283
25,0.0283
25.042,0.0283
25.083,0.0283
25.125,0.0283
25.167,0.0283
25.208,0.0283
25.25,0.0283
25.292,0.0283
25.333,0.0283
25.375,0.0283
25.417,0.0283
25.458,0.0283
25.5,0.0283
25.542,0.0283
25.583,0.0283
25.625,0.0283
25.667,0.0283
25.708,0.0283
25.75,0.0283
25.792,0.0283
25.833,0.0283
25.875,0.0283
25.917,0.0283
25.958,0.0283
26,0.0283
26.042,0.0283
26.083,0.0283
26.125,0.0283
26.167,0.0283
26.208,0.0283
26.25,0.0283
26.292,0.0283
26.333,0.0283
26.375,0.0283
26.417,0.0283
26.458,0.0283
26.5,0.0283
26.542,0.0283
26.583,0.0283
26.625,0.0283
26.667,0.0283
26.708,0.0283
26.75,0.0283
26.792,0.0283
26.833,0.0283
26.875,0.0283
26.917,0.0283
26.958,0.0283
27,0.0283
27.042,0.0283
27.083,0.0283
27.125,0.0283
27.167,0.0283
27.208,0.0283
27.25,0.0283
27.292,0.0283
27.333,0.0283
27.375,0.0283
27.417,0.0283
27.458,0.0283
27.5,0.0283
27.542,0.0283
27.583,0.0283
27.625,0.0283
27.667,0.0283
27.708,0.0283
27.75,0.0283
27.792,0.0283
27.833,0.0283
27.875,0.0283
27.917,0.0283
27.958,0.0283
28,0.0283
28.042,0.0283
28.083,0.0283
28.125,0.0283
28.167,0.0283
28.208,0.0283
28.25,0.0283
28.292,0.0283
28.333,0.0283
28.375,0.0283
28.417,0.0283
28.458,0.0283
28.5,0.0283
28.542,0.0283
28.583,0.0283
28.625,0.0283
28.667,0.0283
28.708,0.0283
28.75,0.0283
28.792,0.0283
28.833,0.0283
28.875,0.0283
28.917,0.0283
28.958,0.0283
29,0.0283
29.042,0.0283
29.083,0.0283
29.125,0.0283
29.167,0.0283
29.208,0.0283
29.25,0.0283
29.292,0.0283
29.333,0.0283
29.375,0.0283
29.417,0.0283
29.458,0.0283
29.5,0.0283
29.542,0.0283
29.583,0.0283
29.625,0.0283
29.667,0.0283
29.708,0.0283
29.75,0.0283
29.792,0.0283
29.833,0.0283
29.875,0.0283
29.917,0.0283
29.958,0.0283
30,0.0283
30.042,0.0283
30.083,0.0283
30.125,0.0283
30.167,0.0283
30.208,0.0283
30.25,0.0283
30.292,0.0283
30.333,0.0283
30.375,0.0283
30.417,0.0283
30.458,0.0283
30.5,0.0283
30.542,0.0283
30.583,0.0283
30.625,0.0283
30.667,0.0283
30.708,0.0283
30.75,0.0283
30.792,0.0283
30.833,0.0283
30.875,0.0283
30.917,0.0283
30.958,0.0283
31,0.0283
31.042,0.0283
31.083,0.0283
31.125,0.0283
31.167,0.0283
31.208,0.0283
31.25,0.0283
31.292,0.0283
31.333,0.0283
31.375,0.0283
31.417,0.0283
31.458,0.0283
31.5,0.0283
31.542,0.0283
31.583,0.0283
31.625,0.0283
31.667,0.0283
31.708,0.0283
31.75,0.0283
31.792,0.0283
31.833,0.0283
31.875,0.0283
31.917,0.0283
31.958,0.0283
32,0.0283
32.042,0.0283
32.083,0.0283
32.125,0.0283
32.167,0.0283
32.208,0.0283
32.25,0.0283
32.292,0.0283
32.333,0.0283
32.375,0.0283
32.417,0.0283
32.458,0.0283
32.5,0.0283
32.542,0.0283
32.583,0.0283
32.625,0.0283
32.667,0.0283
32.708,0.0283
32.75,0.0283
32.792,0.0283
32.833,0.0283
32.875,0.0283
32.917,0.0283
32.958,0.0283
33,0.0283
33.042,0.0283
33.083,0.0283
33.125,0.0283
33.167,0.0283
33.208,0.0283
33.25,0.0283
33.292,0.0283
33.333,0.0283
33.375,0.0283
33.417,0.0283
33.458,0.0283
33.5,0.0283
33.542,0.0283
33.583,0.0283
33.625,0.0283
33.667,0.0283
33.708,0.0283
33.75,0.0283
33.792,0.0283
33.833,0.0283
33.875,0.0283
33.917,0.0283
33.958,0.0283
34,0.0283
34.042,0.0283
34.083,0.0283
34.125,0.0283
34.167,0.0283
34.208,0.0283
34.25,0.0283
34.292,0.0283
34.333,0.0283
34.375,0.0283
34.417,0.0283
34.458,0.0283
34.5,0.0283
34.542,0.0283
34.583,0.0283
34.625,0.0283
34.667,0.0283
34.708,0.0283
34.75,0.0283
34.792,0.0283
34.833,0.0283
34.875,0.0283
34.917,0.0283
34.958,0.0283
35,0.0283
35.042,0.0283
35.083,0.0283
35.125,0.0283
35.167,0.0283
35.208,0.0283
35.25,0.0283
35.292,0.0283
35.333,0.0283
35.375,0.0283
35.417,0.0283
35.458,0.0283
35.5,0.0283
35.542,0.0283
35.583,0.0283
35.625,0.0283
35.667,0.0283
35.708,0.0283
