 Branch:,           1 , # of structures:,           1 , outlet temperatures
      JDAY,      T(C),   Q(m3/s),    ELEVCL,
    6.9218,      8.46,     46.58,    327.66,
    6.9632,      8.46,     38.76,    327.66,
    7.0050,      8.46,     17.01,    327.66,
    7.0467,      8.45,      3.90,    327.66,
    7.0884,      8.45,      0.40,    327.66,
    7.1306,      8.44,      0.40,    327.66,
    7.1719,      8.44,      0.40,    327.66,
    7.2133,      8.43,      0.40,    327.66,
    7.2556,      8.43,      0.40,    327.66,
    7.2969,      8.43,      0.40,    327.66,
    7.3390,      8.42,      0.40,    327.66,
    7.3806,      8.42,      0.40,    327.66,
    7.4219,      8.42,      0.40,    327.66,
    7.4641,      8.42,      0.40,    327.66,
    7.5056,      8.42,      0.40,    327.66,
    7.5476,      8.42,      0.40,    327.66,
    7.5891,      8.42,      0.40,    327.66,
    7.6306,      8.42,      0.40,    327.66,
    7.6726,      8.42,      0.40,    327.66,
    7.7142,      8.42,      6.56,    327.66,
    7.7555,      8.44,    113.17,    327.66,
    7.7974,      8.45,     52.31,    327.66,
    7.8389,      8.45,     18.24,    327.66,
    7.8806,      8.45,     16.64,    327.66,
    7.9226,      8.45,     16.19,    327.66,
    7.9639,      8.44,      1.22,    327.66,
    8.0063,      8.44,      0.82,    327.66,
    8.0476,      8.43,      1.77,    327.66,
    8.0895,      8.43,      2.42,    327.66,
    8.1313,      8.42,      2.37,    327.66,
    8.1726,      8.42,      2.40,    327.66,
    8.2145,      8.41,      2.42,    327.66,
    8.2563,      8.40,      1.78,    327.66,
    8.2976,      8.39,      3.92,    327.66,
    8.3392,      8.39,     46.14,    327.66,
    8.3812,      8.39,     44.45,    327.66,
    8.4229,      8.40,     43.13,    327.66,
    8.4647,      8.40,     39.08,    327.66,
    8.5064,      8.40,     39.09,    327.66,
    8.5478,      8.40,     39.20,    327.66,
    8.5899,      8.40,     39.17,    327.66,
    8.6312,      8.40,     40.27,    327.66,
    8.6728,      8.39,     42.73,    327.66,
    8.7149,      8.39,     48.20,    327.66,
    8.7568,      8.33,      4.32,    327.66,
    8.7983,      8.30,      0.40,    327.66,
    8.8399,      8.30,      0.40,    327.66,
    8.8820,      8.30,      0.40,    327.66,
    8.9233,      8.30,      0.40,    327.66,
    8.9649,      8.29,      0.40,    327.66,
    9.0070,      8.29,      0.40,    327.66,
    9.0483,      8.29,      0.40,    327.66,
    9.0899,      8.29,      0.40,    327.66,
    9.1320,      8.29,      0.40,    327.66,
    9.1733,      8.29,      0.40,    327.66,
    9.2150,      8.29,      0.40,    327.66,
    9.2570,      8.29,      0.40,    327.66,
    9.2990,      8.29,      0.40,    327.66,
    9.3407,      8.29,      0.40,    327.66,
    9.3819,      8.29,      0.40,    327.66,
    9.4235,      8.30,      0.40,    327.66,
    9.4653,      8.30,      0.40,    327.66,
    9.5074,      8.30,      0.40,    327.66,
    9.5487,      8.30,      0.40,    327.66,
    9.5907,      8.30,      0.40,    327.66,
    9.6324,      8.30,      0.40,    327.66,
    9.6737,      8.30,      0.40,    327.66,
    9.7156,      8.30,      0.40,    327.66,
    9.7573,      8.31,      0.40,    327.66,
    9.7991,      8.31,      0.40,    327.66,
    9.8405,      8.31,      0.40,    327.66,
    9.8824,      8.31,      0.40,    327.66,
    9.9239,      8.31,      0.40,    327.66,
    9.9657,      8.31,      0.40,    327.66,
   10.0077,      8.31,      0.40,    327.66,
   10.0490,      8.31,      0.40,    327.66,
   10.0909,      8.31,      0.40,    327.66,
   10.1327,      8.31,      0.40,    327.66,
   10.1747,      8.31,      0.40,    327.66,
   10.2160,      8.31,      0.40,    327.66,
   10.2580,      8.30,      0.40,    327.66,
   10.2993,      8.30,      0.40,    327.66,
   10.3413,      8.29,      0.40,    327.66,
   10.3827,      8.29,      0.40,    327.66,
   10.4247,      8.29,      0.40,    327.66,
   10.4660,      8.29,      0.40,    327.66,
   10.5076,      8.29,      0.40,    327.66,
   10.5497,      8.30,      0.40,    327.66,
   10.5917,      8.30,      0.40,    327.66,
   10.6328,      8.30,      0.40,    327.66,
   10.6747,      8.30,      0.40,    327.66,
   10.7167,      8.30,      0.40,    327.66,
   10.7583,      8.30,      0.40,    327.66,
   10.7997,      8.29,      0.40,    327.66,
   10.8417,      8.29,      0.40,    327.66,
   10.8833,      8.28,      0.40,    327.66,
   10.9247,      8.28,      0.40,    327.66,
   10.9665,      8.28,      0.40,    327.66,
   11.0083,      8.27,      0.40,    327.66,
   11.0503,      8.27,      0.40,    327.66,
   11.0914,      8.27,      0.40,    327.66,
   11.1333,      8.27,      0.40,    327.66,
   11.1753,      8.27,      0.40,    327.66,
   11.2172,      8.26,      0.40,    327.66,
   11.2583,      8.26,      3.02,    327.66,
   11.3003,      8.30,     48.73,    327.66,
