 Branch:,           3 , # of structures:,           3 , outlet temperatures
      JDAY,      T(C),      T(C),      T(C),   Q(m3/s),   Q(m3/s),   Q(m3/s),    ELEVCL,    ELEVCL,    ELEVCL,
    3.3771,      8.79,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.4191,      8.79,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.4609,      8.79,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.5021,      8.79,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.5441,      8.79,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.5859,      8.79,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.6278,      8.78,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.6691,      8.78,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.7109,      8.78,    -99.00,    -99.00,      5.76,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.7528,      8.78,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.7941,      8.78,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.8359,      8.78,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.8778,      8.78,    -99.00,    -99.00,      5.76,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.9191,      8.78,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.9608,      8.77,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.0028,      8.77,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.0448,      8.77,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.0864,      8.76,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.1278,      8.76,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.1698,      8.76,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.2114,      8.75,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.2528,      8.75,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.2948,      8.75,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.3364,      8.74,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.3778,      8.74,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.4198,      8.74,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.4614,      8.74,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.5035,      8.74,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.5448,      8.74,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.5864,      8.74,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.6285,      8.73,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.6698,      8.73,    -99.00,    -99.00,      5.76,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.7114,      8.72,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.7534,      8.70,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.7949,      8.68,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.8366,      8.66,    -99.00,    -99.00,      5.76,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.8783,      8.64,    -99.00,    -99.00,      5.71,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.9200,      8.62,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    4.9618,      8.61,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.0035,      8.60,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.0455,      8.59,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.0871,      8.58,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.1284,      8.57,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.1705,      8.56,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    5.2118,      8.55,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
