$/MR Sac.-Trinity Lake/Swift Creek-Inflow/Flow/01Jan2015/1Day/231.9.125.1.1/
      JDAY, Flow(cms)
274.000,0.19821793
275.000,4.78554707
276.000,4.78554707
277.000,4.78554707
278.000,4.78554707
279.000,4.78554707
280.000,4.78554707
281.000,4.78554707
282.000,4.78554707
283.000,4.78554707
284.000,4.78554707
285.000,4.78554707
286.000,4.78554707
287.000,4.78554707
288.000,4.78554707
289.000,4.78554707
290.000,4.78554707
291.000,4.78554707
292.000,4.78554707
293.000,4.78554707
294.000,4.78554707
295.000,4.78554707
296.000,4.78554707
297.000,4.78554707
298.000,4.78554707
299.000,4.78554707
300.000,4.78554707
301.000,4.78554707
302.000,4.78554707
303.000,4.78554707
304.000,4.78554707
305.000,4.78554707
306.000,15.57426563
307.000,15.31941401
308.000,10.30733216
309.000,7.81544966
310.000,6.28633994
311.000,5.15366608
312.000,4.84218077
313.000,4.47406176
314.000,4.44574491
315.000,3.76614060
316.000,3.42633844
317.000,3.36970474
318.000,3.34138790
319.000,3.36970474
320.000,3.02990259
321.000,3.73782375
322.000,4.67227969
323.000,5.40851770
324.000,5.46515139
325.000,5.26693347
326.000,5.66336932
327.000,6.37129048
328.000,6.34297364
329.000,6.48455787
330.000,6.34297364
331.000,5.94653778
332.000,5.63505247
333.000,5.57841878
334.000,5.21029977
335.000,4.53069545
336.000,3.59623952
337.000,2.91663520
338.000,3.22812051
339.000,3.14316997
340.000,2.49188250
341.000,2.80336781
342.000,3.79445744
343.000,3.87940798
344.000,5.86158724
345.000,17.30159327
346.000,10.73208486
347.000,7.53228119
348.000,7.27742957
349.000,20.67129801
350.000,69.26300676
351.000,28.31684659
352.000,16.14060256
353.000,11.35505548
354.000,9.23129199
355.000,8.35346974
356.000,6.93762742
357.000,6.20138940
358.000,8.74990560
359.000,5.83327040
360.000,5.57841878
361.000,4.41742807
362.000,4.44574491
363.000,4.33247753
364.000,4.02099222
365.000,4.24752699
366.000,3.59623952
367.000,2.71841727
