$Combined output for files: 1, 2, 3, 4, 5, 6

JDAY,TEMP-AIR,TEMP-DEWPOINT,Speed-Wind,DIR-WIND-RADIANS,%-CLOUD COVER,IRRAD-SOLAR
5.458,3.79,3.78,6.00,5.59,0.00,91.00
5.500,4.90,4.89,0.00,2.01,0.00,116.92
5.542,4.90,4.89,4.00,2.90,0.00,94.95
5.583,5.46,5.45,4.00,3.11,0.00,81.01
5.625,5.46,5.45,5.00,3.49,0.00,79.03
5.667,4.90,4.89,3.00,2.69,0.00,46.95
5.708,5.46,5.45,5.00,2.78,0.00,8.02
5.750,5.46,5.45,2.00,3.09,0.00,0.00
5.792,4.90,4.89,4.00,2.43,0.00,0.00
5.833,4.90,4.89,6.00,2.97,0.00,0.00
5.875,4.90,4.89,3.00,3.14,0.00,0.00
5.917,3.79,3.78,3.00,5.76,0.00,0.00
5.958,4.35,4.34,3.00,5.59,0.00,0.00
6.000,4.35,4.34,5.00,2.06,0.00,0.00
6.042,4.35,4.34,4.00,2.36,0.00,0.00
6.083,4.90,4.89,4.00,2.30,0.00,0.00
6.125,4.35,4.21,3.00,2.27,0.00,0.00
6.167,3.79,3.78,3.00,0.16,0.00,0.00
6.208,4.35,4.34,7.00,2.16,0.00,0.00
6.250,4.35,3.92,7.00,2.55,0.00,0.00
6.292,4.35,4.06,1.00,5.15,0.00,0.00
6.333,3.79,3.65,3.00,5.76,0.00,3.02
6.375,3.24,3.23,5.00,5.83,0.00,18.01
6.417,2.68,2.67,4.00,0.02,0.00,33.01
6.458,2.68,2.67,4.00,0.12,0.00,59.04
6.500,2.68,2.67,7.00,6.07,0.00,117.97
6.542,2.68,2.67,7.00,6.04,0.00,134.93
6.583,3.24,3.23,6.00,6.07,0.00,121.92
6.625,3.24,3.23,5.00,5.90,0.00,74.03
6.667,2.68,2.67,5.00,5.85,0.00,31.96
6.708,2.12,2.11,2.00,5.69,0.00,1.98
6.750,2.68,2.67,3.00,5.43,0.00,0.00
6.792,2.12,2.11,4.00,5.59,0.00,0.00
6.833,2.12,2.11,3.00,5.55,0.00,0.00
6.875,2.12,2.11,4.00,5.45,0.00,0.00
6.917,2.12,2.11,2.00,5.74,0.00,0.00
6.958,2.68,2.67,3.00,2.13,0.00,0.00
7.000,2.12,2.11,3.00,5.65,0.00,0.00
7.042,2.12,2.11,1.00,2.20,0.00,0.00
7.083,2.12,2.11,1.00,5.50,0.00,0.00
7.125,2.68,2.67,1.00,0.87,0.00,0.00
7.167,2.12,2.11,2.00,5.93,0.00,0.00
7.208,2.12,2.11,0.00,3.30,0.00,0.00
7.250,2.12,2.11,2.00,2.09,0.00,0.00
7.292,2.12,2.11,0.00,5.78,0.00,0.00
7.333,2.12,2.11,3.00,5.81,0.00,14.99
7.375,2.68,2.67,4.00,6.27,0.00,94.02
7.417,2.68,2.67,5.00,5.34,0.00,126.91
7.458,3.24,3.23,2.00,0.73,0.00,124.94
7.500,3.79,3.78,2.00,0.21,0.00,154.92
7.542,4.35,4.34,3.00,1.29,0.00,155.97
7.583,4.90,4.61,3.00,1.82,0.00,170.96
7.625,4.90,4.61,1.00,0.00,0.00,106.92
7.667,4.35,4.06,3.00,5.62,0.00,49.05
7.708,3.79,3.65,4.00,5.27,0.00,3.95
7.750,3.24,3.23,4.00,5.64,0.00,0.00
7.792,3.24,3.10,2.00,5.15,0.00,0.00
7.833,2.68,2.67,2.00,5.31,0.00,0.00
7.875,2.68,2.67,3.00,5.52,0.00,0.00
7.917,2.68,2.67,4.00,5.53,0.00,0.00
7.958,2.68,2.67,4.00,5.53,0.00,0.00
8.000,2.12,2.11,5.00,5.90,0.00,0.00
8.042,2.12,1.98,4.00,5.71,0.00,0.00
8.083,1.01,1.00,3.00,5.55,0.00,0.00
8.125,1.01,1.00,3.00,5.64,0.00,0.00
8.167,0.46,0.45,5.00,5.65,0.00,0.00
8.208,0.46,0.45,3.00,5.67,0.00,0.00
8.250,-0.10,-0.11,4.00,5.74,0.00,0.00
8.292,-0.10,-0.11,4.00,5.97,0.00,0.00
8.333,0.46,0.32,0.00,5.78,0.00,33.01
8.375,1.57,1.29,1.00,5.72,0.00,139.00
8.417,2.68,2.25,2.00,5.59,0.00,365.87
8.458,3.79,3.06,3.00,5.76,0.00,405.85
8.500,4.35,3.01,3.00,5.43,0.00,259.87
8.542,4.90,3.40,5.00,2.20,0.00,338.90
8.583,5.46,3.31,4.00,5.76,0.00,193.97
8.625,6.01,4.50,2.00,1.69,0.00,122.96
8.667,5.46,3.80,2.00,5.90,0.00,34.98
8.708,4.90,3.08,4.00,5.90,0.00,3.02
8.750,4.35,3.47,4.00,5.60,0.00,0.00
8.792,3.79,3.36,3.00,5.88,0.00,0.00
8.833,4.35,2.06,4.00,0.72,0.00,0.00
8.875,3.79,3.06,3.00,5.99,0.00,0.00
8.917,3.24,3.23,3.00,6.13,0.00,0.00
8.958,2.68,2.67,5.00,5.90,0.00,0.00
9.000,2.12,2.11,6.00,5.86,0.00,0.00
9.042,2.12,2.11,4.00,5.74,0.00,0.00
9.083,2.12,2.11,4.00,5.86,0.00,0.00
9.125,2.12,2.11,4.00,5.86,0.00,0.00
9.167,2.12,2.11,3.00,5.81,0.00,0.00
9.208,2.12,2.11,3.00,5.46,0.00,0.00
9.250,2.12,2.11,3.00,5.78,0.00,0.00
9.292,1.57,1.56,3.00,5.97,0.00,0.00
9.333,1.57,1.56,3.00,5.85,0.00,1.05
9.375,2.12,2.11,4.00,5.93,0.00,6.97
9.417,2.12,2.11,4.00,6.04,0.00,18.94
9.458,2.68,2.67,4.00,5.90,0.00,71.94
9.500,2.68,2.54,3.00,5.79,0.00,94.02
9.542,3.24,2.96,4.00,5.88,0.00,201.88
9.583,2.68,2.54,5.00,5.74,0.00,114.01
9.625,2.68,2.67,5.00,5.60,0.00,81.01
9.667,2.12,2.11,5.00,5.78,0.00,16.04
9.708,2.12,2.11,3.00,5.53,0.00,3.02
9.750,2.12,2.11,5.00,5.72,0.00,0.00
9.792,2.12,2.11,4.00,5.46,0.00,0.00
9.833,2.12,2.11,2.00,5.55,0.00,0.00
9.875,2.12,2.11,3.00,5.76,0.00,0.00
9.917,2.12,2.11,3.00,5.67,0.00,0.00
9.958,1.57,1.56,3.00,5.64,0.00,0.00
10.000,2.12,2.11,3.00,5.48,0.00,0.00
10.042,2.12,2.11,3.00,5.90,0.00,0.00
10.083,2.12,2.11,2.00,0.24,0.00,0.00
10.125,2.12,2.11,3.00,6.00,0.00,0.00
10.167,2.12,2.11,4.00,5.71,0.00,0.00
10.208,1.57,1.56,4.00,6.21,0.00,0.00
10.250,2.12,2.11,3.00,0.14,0.00,0.00
10.292,2.12,2.11,2.00,5.65,0.00,0.00
10.333,1.57,1.56,6.00,5.79,0.00,11.04
10.375,3.24,2.67,4.00,5.67,0.00,195.95
