JDAY,SEG   2,SEG   3,SEG   4,SEG   5,SEG   6,SEG   7,SEG   8,SEG   9,SEG  10,SEG  11,SEG  12,SEG  13,SEG  14,SEG  15,SEG  16,SEG  17,SEG  18,SEG  19,SEG  20,SEG  21,SEG  22,SEG  23,SEG  24,SEG  25,SEG  26,SEG  27,SEG  28,SEG  29,SEG  30,SEG  31,SEG  32,SEG  33,SEG  34,SEG  35,SEG  36,SEG  37,SEG  38,SEG  39,SEG  40,SEG  41,SEG  42,SEG  43,SEG  44,SEG  45,SEG  46,SEG  47,SEG  48,SEG  49,SEG  50,SEG  51,SEG  52,SEG  55,SEG  56,SEG  57,SEG  58,SEG  61,SEG  62,SEG  63,SEG  64,SEG  65,SEG  66,SEG  67,SEG  68,SEG  69,SEG  70,SEG  73,SEG  74,SEG  75,SEG  76,SEG  77,SEG  78,SEG  79,SEG  80,SEG  81,SEG  82,SEG
     1.836, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.720, 665.721, 665.721, 665.722, 665.723, 665.723, 665.723, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.724, 665.725, 665.724, 665.724, 665.725, 665.725, 665.725, 665.725, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.722, 665.723, 665.724, 665.724, 665.725, 665.724, 665.724, 665.747, 665.747, 665.747, 665.747, 665.747, 665.723, 665.723, 665.724, 665.724, 665.724,
     1.878, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.718, 665.719, 665.719, 665.720, 665.721, 665.721, 665.722, 665.722, 665.722, 665.722, 665.722, 665.722, 665.722, 665.722, 665.722, 665.722, 665.722, 665.722, 665.722, 665.722, 665.722, 665.722, 665.722, 665.722, 665.722, 665.723, 665.723, 665.722, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.721, 665.722, 665.723, 665.723, 665.723, 665.723, 665.723, 665.747, 665.747, 665.747, 665.747, 665.747, 665.722, 665.722, 665.722, 665.722, 665.723,
     1.917, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.713, 665.714, 665.715, 665.716, 665.717, 665.717, 665.717, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.719, 665.719, 665.719, 665.719, 665.719, 665.719, 665.719, 665.719, 665.719, 665.719, 665.719, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.717, 665.718, 665.718, 665.719, 665.719, 665.719, 665.719, 665.747, 665.747, 665.747, 665.747, 665.747, 665.717, 665.717, 665.718, 665.718, 665.719,
     1.960, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.709, 665.710, 665.710, 665.712, 665.712, 665.713, 665.713, 665.713, 665.713, 665.713, 665.714, 665.713, 665.714, 665.714, 665.714, 665.714, 665.714, 665.714, 665.714, 665.714, 665.714, 665.714, 665.714, 665.714, 665.714, 665.714, 665.714, 665.714, 665.714, 665.714, 665.714, 665.714, 665.715, 665.715, 665.715, 665.715, 665.715, 665.715, 665.715, 665.716, 665.716, 665.716, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.712, 665.713, 665.714, 665.714, 665.715, 665.715, 665.715, 665.747, 665.747, 665.747, 665.747, 665.747, 665.713, 665.713, 665.714, 665.714, 665.714,
     2.002, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.713, 665.714, 665.715, 665.715, 665.716, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.718, 665.718, 665.718, 665.717, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.718, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.715, 665.716, 665.717, 665.718, 665.718, 665.718, 665.718, 665.747, 665.747, 665.747, 665.747, 665.747, 665.717, 665.717, 665.717, 665.717, 665.718,
     2.042, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.712, 665.713, 665.713, 665.714, 665.715, 665.715, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.717, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.713, 665.715, 665.716, 665.716, 665.716, 665.716, 665.716, 665.747, 665.747, 665.747, 665.747, 665.747, 665.715, 665.715, 665.716, 665.716, 665.716,
     2.085, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.712, 665.713, 665.713, 665.714, 665.714, 665.715, 665.715, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.712, 665.714, 665.715, 665.716, 665.716, 665.716, 665.716, 665.747, 665.747, 665.747, 665.747, 665.747, 665.714, 665.715, 665.715, 665.715, 665.716,
     2.127, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.712, 665.713, 665.713, 665.714, 665.715, 665.715, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.717, 665.716, 665.716, 665.716, 665.716, 665.717, 665.717, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.713, 665.715, 665.716, 665.716, 665.717, 665.716, 665.716, 665.747, 665.747, 665.747, 665.747, 665.747, 665.715, 665.715, 665.716, 665.716, 665.716,
     2.167, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.712, 665.713, 665.713, 665.714, 665.714, 665.715, 665.715, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.713, 665.714, 665.715, 665.716, 665.716, 665.716, 665.716, 665.747, 665.747, 665.747, 665.747, 665.747, 665.714, 665.715, 665.715, 665.715, 665.716,
     2.210, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.713, 665.714, 665.715, 665.715, 665.715, 665.716, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.717, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.714, 665.716, 665.717, 665.717, 665.718, 665.717, 665.717, 665.747, 665.747, 665.747, 665.747, 665.747, 665.716, 665.716, 665.717, 665.717, 665.717,
     2.253, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.712, 665.713, 665.713, 665.714, 665.714, 665.715, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.716, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.713, 665.714, 665.715, 665.716, 665.716, 665.716, 665.716, 665.747, 665.747, 665.747, 665.747, 665.747, 665.714, 665.714, 665.715, 665.715, 665.716,
     2.292, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.717, 665.718, 665.718, 665.719, 665.719, 665.719, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.721, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.718, 665.719, 665.721, 665.721, 665.721, 665.721, 665.721, 665.747, 665.747, 665.747, 665.747, 665.747, 665.719, 665.720, 665.720, 665.721, 665.721,
     2.336, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.718, 665.719, 665.720, 665.721, 665.721, 665.721, 665.722, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.723, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.747, 665.719, 665.721, 665.722, 665.723, 665.723, 665.723, 665.723, 665.747, 665.747, 665.747, 665.747, 665.747, 665.721, 665.722, 665.722, 665.722, 665.723,
