$/MR Sac.-Trinity Lake/EF Trinity River-Inflow/Flow/01Jan2015/1Day/231.7.125.1.1/
      JDAY, Flow(cms)
274.000,0.169901080
275.000,7.192479034
276.000,7.192479034
277.000,7.192479034
278.000,7.192479034
279.000,7.192479034
280.000,7.192479034
281.000,7.192479034
282.000,7.192479034
283.000,7.192479034
284.000,7.192479034
285.000,7.192479034
286.000,7.192479034
287.000,7.192479034
288.000,7.192479034
289.000,7.192479034
290.000,7.192479034
291.000,7.192479034
292.000,7.192479034
293.000,7.192479034
294.000,7.192479034
295.000,7.192479034
296.000,7.192479034
297.000,7.192479034
298.000,7.192479034
299.000,7.192479034
300.000,7.192479034
301.000,7.192479034
302.000,7.192479034
303.000,7.192479034
304.000,7.192479034
305.000,7.192479034
306.000,33.470512672
307.000,32.932492586
308.000,22.172090882
309.000,16.791890029
310.000,13.535452671
311.000,11.043570171
312.000,10.392282699
313.000,9.627727841
314.000,9.571094148
315.000,8.098618125
316.000,7.334063267
317.000,7.220795881
318.000,7.220795881
319.000,7.249112728
320.000,6.512874716
321.000,8.013667586
322.000,10.024163694
323.000,11.638223949
324.000,11.723174489
325.000,11.326738637
326.000,12.147927188
327.000,13.705353751
328.000,13.620403211
329.000,13.960205370
330.000,13.648720057
331.000,12.770897813
332.000,12.091293495
333.000,11.978026108
334.000,11.185154404
335.000,9.740995228
336.000,9.401193069
337.000,7.645548580
338.000,8.466737131
339.000,8.183568665
340.000,6.541191563
341.000,7.334063267
342.000,9.939213154
343.000,10.165747927
344.000,15.319414006
345.000,45.193687161
346.000,28.090311819
347.000,19.708525228
348.000,19.057237756
349.000,54.028543298
350.000,181.114550802
351.000,74.076870685
352.000,42.220418269
353.000,29.704372075
354.000,24.125953296
355.000,21.860605569
356.000,18.151098665
357.000,16.225553097
358.000,22.908328893
359.000,15.206146620
360.000,14.611492841
361.000,11.581590256
362.000,11.581590256
363.000,11.326738637
364.000,10.562183779
365.000,11.071887017
366.000,9.372876222
367.000,9.174658296
