$/MR Sac.-Trinity Lake/Trinity River-Inflow/Flow/01Jan2015/1Day/231.6.125.1.1/
      JDAY, Flow(cms)
274.000,1.132673864
275.000,11.128520711
276.000,11.241788097
277.000,11.411689177
278.000,11.468322870
279.000,11.411689177
280.000,11.326738637
281.000,11.270104944
282.000,11.241788097
283.000,11.213471250
284.000,11.213471250
285.000,11.185154404
286.000,11.185154404
287.000,11.241788097
288.000,14.894661307
289.000,19.736842075
290.000,19.680208381
291.000,17.952880739
292.000,15.857434092
293.000,14.073472756
294.000,13.223967358
295.000,12.799214660
296.000,12.544363040
297.000,12.317828268
298.000,18.632485058
299.000,24.663973382
300.000,39.502000996
301.000,37.491504888
302.000,30.355659547
303.000,44.032696451
304.000,120.771350715
305.000,63.854489065
306.000,68.470135059
307.000,56.378841565
308.000,40.011704234
309.000,31.743185030
310.000,26.419617870
311.000,25.145359774
312.000,22.370308808
313.000,19.991693694
314.000,18.774069290
315.000,16.423771023
316.000,15.007928694
317.000,15.092879234
318.000,14.300007529
319.000,13.818621137
320.000,15.630899319
321.000,16.282186790
322.000,17.386543807
323.000,18.490900825
324.000,20.642981166
325.000,25.286944007
326.000,26.306350484
327.000,26.787736876
328.000,27.722192814
329.000,26.221399944
330.000,25.711696706
331.000,25.655063012
332.000,24.210903836
333.000,22.964962586
334.000,21.265951791
335.000,19.255455683
336.000,16.593672103
337.000,14.611492841
338.000,15.064562387
339.000,14.724760228
340.000,13.507135824
341.000,13.903571677
342.000,15.744166705
343.000,15.970701478
344.000,20.558030626
345.000,62.750132048
346.000,42.701804661
347.000,31.771501876
348.000,28.939817217
349.000,65.468549321
350.000,289.143320551
351.000,121.479271880
352.000,70.537264861
353.000,50.942007019
354.000,41.540813950
355.000,37.180019575
356.000,32.536056734
357.000,29.194668836
358.000,34.631503382
359.000,26.617835796
360.000,24.720607075
361.000,21.237634944
362.000,20.699614859
363.000,19.850109461
364.000,18.887336677
365.000,19.198821989
366.000,17.556444887
367.000,15.376047699
