$Flow file for segment 52
To the right of the sum of flows are individual flows starting with QWD then QSTR
JDAY,QWD(m3s-1),
    97.025,   34.264,            0.000,
    97.068,   34.264,            0.000,
    97.109,   34.264,            0.000,
    97.151,   34.264,            0.000,
    97.194,   34.264,            0.000,
    97.231,   34.264,            0.000,
    97.272,   34.264,            0.000,
    97.314,   34.264,            0.000,
    97.362,   34.264,            0.000,
    97.399,   34.264,            0.000,
    97.438,   34.264,            0.000,
    97.481,   34.264,            0.000,
    97.525,   34.264,            0.000,
    97.566,   34.264,            0.000,
    97.610,   34.264,            0.000,
    97.649,   34.264,            0.000,
    97.694,   34.264,            0.000,
    97.729,   34.264,            0.000,
    97.771,   34.264,            0.000,
    97.813,   34.264,            0.000,
    97.855,   34.264,            0.000,
    97.896,   34.264,            0.000,
    97.939,   34.264,            0.000,
    97.983,   34.264,            0.000,
    98.025,   34.264,            0.000,
    98.066,   34.264,            0.000,
    98.106,   34.264,            0.000,
    98.147,   34.264,            0.000,
    98.192,   34.264,            0.000,
    98.233,   34.264,            0.000,
    98.277,   34.264,            0.000,
    98.314,   34.264,            0.000,
    98.359,   34.264,            0.000,
    98.399,   34.264,            0.000,
    98.443,   34.264,            0.000,
    98.481,   34.264,            0.000,
    98.524,   34.264,            0.000,
    98.566,   34.264,            0.000,
    98.606,   34.264,            0.000,
    98.649,   34.264,            0.000,
    98.688,   34.264,            0.000,
    98.735,   34.264,            0.000,
    98.771,   34.264,            0.000,
    98.814,   34.264,            0.000,
    98.855,   34.264,            0.000,
    98.899,   34.264,            0.000,
    98.940,   34.264,            0.000,
    98.982,   34.264,            0.000,
    99.024,   34.264,            0.000,
    99.068,   34.264,            0.000,
    99.105,   34.264,            0.000,
    99.146,   34.264,            0.000,
    99.189,   34.264,            0.000,
    99.231,   34.264,            0.000,
    99.273,   34.264,            0.000,
    99.316,   34.264,            0.000,
    99.360,   34.264,            0.000,
    99.399,   34.264,            0.000,
    99.438,   34.264,            0.000,
    99.481,   34.264,            0.000,
    99.522,   34.264,            0.000,
    99.563,   34.264,            0.000,
    99.611,   34.264,            0.000,
    99.647,   34.264,            0.000,
    99.690,   34.264,            0.000,
    99.730,   34.264,            0.000,
    99.774,   34.264,            0.000,
    99.815,   34.264,            0.000,
    99.857,   34.264,            0.000,
    99.899,   34.264,            0.000,
    99.938,   34.264,            0.000,
    99.982,   34.264,            0.000,
   100.022,   34.264,            0.000,
   100.063,   34.264,            0.000,
   100.109,   34.264,            0.000,
   100.150,   34.264,            0.000,
   100.191,   34.264,            0.000,
   100.231,   34.264,            0.000,
   100.275,   34.264,            0.000,
   100.315,   34.264,            0.000,
   100.358,   34.264,            0.000,
   100.399,   34.264,            0.000,
   100.438,   34.264,            0.000,
   100.482,   34.264,            0.000,
   100.526,   34.264,            0.000,
   100.565,   34.264,            0.000,
   100.608,   34.264,            0.000,
   100.651,   34.264,            0.000,
   100.691,   34.264,            0.000,
   100.731,   34.264,            0.000,
   100.772,   34.264,            0.000,
   100.816,   34.264,            0.000,
   100.859,   34.264,            0.000,
   100.902,   34.264,            0.000,
   100.944,   34.264,            0.000,
   100.982,   34.264,            0.000,
   101.027,   34.264,            0.000,
   101.068,   34.264,            0.000,
   101.105,   34.264,            0.000,
   101.147,   34.264,            0.000,
   101.189,   34.264,            0.000,
   101.230,   34.264,            0.000,
   101.278,   34.264,            0.000,
   101.319,   34.264,            0.000,
   101.360,   34.264,            0.000,
   101.403,   34.264,            0.000,
   101.441,   34.264,            0.000,
   101.479,   34.264,            0.000,
   101.522,   34.264,            0.000,
   101.564,   34.264,            0.000,
   101.605,   34.264,            0.000,
   101.647,   34.264,            0.000,
   101.689,   34.264,            0.000,
   101.730,   34.264,            0.000,
   101.773,   34.264,            0.000,
   101.814,   34.264,            0.000,
   101.855,   34.264,            0.000,
   101.897,   34.264,            0.000,
   101.939,   34.264,            0.000,
   101.981,   34.264,            0.000,
   102.023,   34.264,            0.000,
   102.065,   34.264,            0.000,
   102.106,   34.264,            0.000,
   102.148,   34.264,            0.000,
   102.191,   34.264,            0.000,
   102.231,   34.264,            0.000,
   102.274,   34.264,            0.000,
   102.316,   34.264,            0.000,
   102.355,   34.264,            0.000,
   102.399,   34.264,            0.000,
   102.438,   34.264,            0.000,
   102.484,   34.264,            0.000,
   102.524,   34.264,            0.000,
   102.567,   34.264,            0.000,
   102.607,   34.264,            0.000,
   102.647,   34.264,            0.000,
   102.692,   34.264,            0.000,
   102.733,   34.264,            0.000,
   102.775,   34.264,            0.000,
   102.818,   34.264,            0.000,
   102.858,   34.264,            0.000,
   102.901,   34.264,            0.000,
   102.940,   34.264,            0.000,
   102.980,   34.264,            0.000,
   103.022,   34.264,            0.000,
   103.066,   34.264,            0.000,
   103.106,   34.264,            0.000,
   103.149,   34.264,            0.000,
   103.191,   34.264,            0.000,
   103.230,   34.264,            0.000,
   103.272,   34.264,            0.000,
   103.313,   34.264,            0.000,
   103.357,   34.264,            0.000,
   103.403,   34.264,            0.000,
   103.444,   34.264,            0.000,
   103.484,   34.264,            0.000,
   103.525,   34.264,            0.000,
   103.566,   34.264,            0.000,
   103.606,   34.264,            0.000,
   103.647,   34.264,            0.000,
   103.688,   34.264,            0.000,
   103.735,   34.264,            0.000,
   103.774,   34.264,            0.000,
   103.813,   34.264,            0.000,
   103.854,   34.264,            0.000,
   103.897,   34.264,            0.000,
   103.939,   34.264,            0.000,
   103.981,   34.264,            0.000,
   104.024,   34.264,            0.000,
   104.064,   34.264,            0.000,
   104.105,   34.264,            0.000,
   104.147,   34.264,            0.000,
   104.195,   34.264,            0.000,
   104.232,   34.264,            0.000,
   104.272,   34.264,            0.000,
   104.314,   34.264,            0.000,
   104.355,   34.264,            0.000,
   104.397,   34.264,            0.000,
   104.439,   34.264,            0.000,
   104.480,   34.264,            0.000,
   104.522,   34.264,            0.000,
   104.563,   34.264,            0.000,
   104.611,   34.264,            0.000,
   104.651,   34.264,            0.000,
   104.692,   34.264,            0.000,
   104.733,   34.264,            0.000,
   104.776,   34.264,            0.000,
   104.819,   34.264,            0.000,
   104.854,   34.264,            0.000,
   104.899,   34.264,            0.000,
   104.938,   34.264,            0.000,
   104.985,   34.264,            0.000,
   105.027,   34.264,            0.000,
   105.063,   34.264,            0.000,
   105.105,   34.264,            0.000,
   105.147,   34.264,            0.000,
   105.189,   34.264,            0.000,
   105.231,   34.264,            0.000,
   105.272,   34.264,            0.000,
   105.315,   34.264,            0.000,
   105.358,   34.264,            0.000,
   105.402,   34.264,            0.000,
   105.442,   34.264,            0.000,
   105.483,   34.264,            0.000,
   105.522,   34.264,            0.000,
   105.567,   34.264,            0.000,
   105.608,   34.264,            0.000,
   105.650,   34.264,            0.000,
   105.692,   34.264,            0.000,
   105.731,   34.264,            0.000,
   105.772,   34.264,            0.000,
   105.816,   34.264,            0.000,
   105.859,   34.264,            0.000,
   105.898,   34.264,            0.000,
   105.943,   34.264,            0.000,
   105.984,   34.264,            0.000,
   106.026,   34.264,            0.000,
   106.068,   34.264,            0.000,
   106.109,   34.264,            0.000,
   106.151,   34.264,            0.000,
   106.193,   34.264,            0.000,
   106.235,   34.264,            0.000,
   106.277,   34.264,            0.000,
   106.319,   34.264,            0.000,
   106.360,   34.264,            0.000,
   106.403,   34.264,            0.000,
   106.445,   34.264,            0.000,
   106.485,   34.264,            0.000,
   106.527,   34.264,            0.000,
   106.569,   34.264,            0.000,
   106.609,   34.264,            0.000,
   106.651,   34.264,            0.000,
   106.693,   34.264,            0.000,
   106.734,   34.264,            0.000,
   106.775,   34.264,            0.000,
   106.813,   34.264,            0.000,
   106.858,   34.264,            0.000,
   106.898,   34.264,            0.000,
   106.939,   34.264,            0.000,
   106.980,   34.264,            0.000,
   107.025,   34.264,            0.000,
   107.065,   34.264,            0.000,
   107.104,   34.264,            0.000,
   107.151,   34.264,            0.000,
   107.194,   34.264,            0.000,
   107.234,   34.264,            0.000,
   107.276,   34.264,            0.000,
   107.318,   34.264,            0.000,
   107.360,   34.264,            0.000,
   107.402,   34.264,            0.000,
   107.443,   34.264,            0.000,
   107.483,   34.264,            0.000,
   107.526,   34.264,            0.000,
   107.565,   34.264,            0.000,
   107.605,   34.264,            0.000,
   107.647,   34.264,            0.000,
   107.689,   34.264,            0.000,
   107.730,   34.264,            0.000,
   107.773,   34.264,            0.000,
   107.816,   34.264,            0.000,
   107.856,   34.264,            0.000,
   107.904,   34.264,            0.000,
   107.942,   34.264,            0.000,
   107.983,   34.264,            0.000,
   108.022,   34.264,            0.000,
   108.064,   34.264,            0.000,
   108.109,   34.264,            0.000,
   108.149,   34.264,            0.000,
   108.192,   34.264,            0.000,
   108.235,   34.264,            0.000,
   108.278,   34.264,            0.000,
   108.320,   34.264,            0.000,
   108.360,   34.264,            0.000,
   108.401,   34.264,            0.000,
   108.443,   34.264,            0.000,
   108.483,   34.264,            0.000,
   108.521,   34.264,            0.000,
   108.569,   34.264,            0.000,
   108.606,   34.264,            0.000,
   108.648,   34.264,            0.000,
   108.689,   34.264,            0.000,
   108.736,   34.264,            0.000,
   108.778,   34.264,            0.000,
   108.815,   34.264,            0.000,
   108.854,   34.264,            0.000,
   108.897,   34.264,            0.000,
   108.939,   34.264,            0.000,
   108.980,   34.264,            0.000,
   109.022,   34.264,            0.000,
   109.065,   34.264,            0.000,
   109.112,   34.264,            0.000,
   109.150,   34.264,            0.000,
   109.189,   34.264,            0.000,
   109.230,   34.264,            0.000,
   109.276,   34.264,            0.000,
   109.318,   34.264,            0.000,
   109.358,   34.264,            0.000,
   109.398,   34.264,            0.000,
   109.441,   34.264,            0.000,
   109.479,   34.264,            0.000,
   109.522,   34.264,            0.000,
   109.563,   34.264,            0.000,
   109.610,   34.264,            0.000,
   109.649,   34.264,            0.000,
   109.688,   34.264,            0.000,
   109.730,   34.264,            0.000,
   109.774,   34.264,            0.000,
   109.815,   34.264,            0.000,
   109.854,   34.264,            0.000,
   109.901,   34.264,            0.000,
   109.943,   34.264,            0.000,
   109.984,   34.264,            0.000,
   110.027,   34.264,            0.000,
   110.069,   34.264,            0.000,
   110.107,   34.264,            0.000,
   110.151,   34.264,            0.000,
   110.188,   34.264,            0.000,
   110.234,   34.264,            0.000,
   110.273,   34.264,            0.000,
   110.315,   34.264,            0.000,
   110.356,   34.264,            0.000,
   110.400,   34.264,            0.000,
   110.441,   34.264,            0.000,
   110.482,   34.264,            0.000,
   110.525,   34.264,            0.000,
   110.563,   34.264,            0.000,
   110.609,   34.264,            0.000,
   110.649,   34.264,            0.000,
   110.691,   34.264,            0.000,
   110.733,   34.264,            0.000,
   110.775,   34.264,            0.000,
   110.814,   34.264,            0.000,
   110.855,   34.264,            0.000,
   110.899,   34.264,            0.000,
   110.941,   34.264,            0.000,
   110.980,   34.264,            0.000,
