$Flow file for segment 52
To the right of the sum of flows are individual flows starting with QWD then QSTR
JDAY,QWD(m3s-1),
    69.190,   24.408,            0.000,
    69.231,   24.408,            0.000,
    69.273,   24.408,            0.000,
    69.315,   24.408,            0.000,
    69.355,   24.408,            0.000,
    69.401,   24.408,            0.000,
    69.439,   24.408,            0.000,
    69.482,   24.408,            0.000,
    69.522,   24.408,            0.000,
    69.564,   24.408,            0.000,
    69.605,   24.408,            0.000,
    69.648,   24.408,            0.000,
    69.688,   24.408,            0.000,
    69.731,   24.408,            0.000,
    69.776,   24.408,            0.000,
    69.818,   24.408,            0.000,
    69.859,   24.408,            0.000,
    69.902,   24.408,            0.000,
    69.944,   24.408,            0.000,
    69.979,   24.408,            0.000,
    70.025,   24.408,            0.000,
    70.063,   24.408,            0.000,
    70.104,   24.408,            0.000,
    70.147,   24.408,            0.000,
    70.190,   24.408,            0.000,
    70.231,   24.408,            0.000,
    70.274,   24.408,            0.000,
    70.314,   24.408,            0.000,
    70.356,   24.408,            0.000,
    70.401,   24.408,            0.000,
    70.444,   24.408,            0.000,
    70.483,   24.408,            0.000,
    70.525,   24.408,            0.000,
    70.565,   24.408,            0.000,
    70.608,   24.408,            0.000,
    70.649,   24.408,            0.000,
    70.690,   24.408,            0.000,
    70.731,   24.408,            0.000,
    70.772,   24.408,            0.000,
    70.814,   24.408,            0.000,
    70.854,   24.408,            0.000,
    70.896,   24.408,            0.000,
    70.938,   24.408,            0.000,
    70.980,   24.408,            0.000,
    71.022,   24.408,            0.000,
    71.065,   24.408,            0.000,
    71.107,   24.408,            0.000,
    71.146,   24.408,            0.000,
    71.193,   24.408,            0.000,
    71.237,   24.408,            0.000,
    71.279,   24.408,            0.000,
    71.320,   24.408,            0.000,
    71.360,   24.408,            0.000,
    71.401,   24.408,            0.000,
    71.443,   24.408,            0.000,
    71.483,   24.408,            0.000,
    71.525,   24.408,            0.000,
    71.567,   24.408,            0.000,
    71.607,   24.408,            0.000,
    71.649,   24.408,            0.000,
    71.691,   24.408,            0.000,
    71.732,   24.408,            0.000,
    71.775,   24.408,            0.000,
    71.814,   24.408,            0.000,
    71.855,   24.408,            0.000,
    71.901,   24.408,            0.000,
    71.943,   24.408,            0.000,
    71.983,   24.408,            0.000,
    72.025,   24.408,            0.000,
    72.063,   24.408,            0.000,
    72.104,   24.408,            0.000,
    72.146,   24.408,            0.000,
    72.188,   24.408,            0.000,
    72.230,   24.408,            0.000,
    72.272,   24.408,            0.000,
    72.315,   24.408,            0.000,
    72.354,   24.408,            0.000,
    72.397,   24.408,            0.000,
    72.442,   24.408,            0.000,
    72.481,   24.408,            0.000,
    72.524,   24.408,            0.000,
    72.567,   24.408,            0.000,
    72.608,   24.408,            0.000,
    72.648,   24.408,            0.000,
    72.690,   24.408,            0.000,
    72.737,   24.408,            0.000,
    72.774,   24.408,            0.000,
    72.820,   24.408,            0.000,
    72.857,   24.408,            0.000,
    72.896,   24.408,            0.000,
    72.941,   24.408,            0.000,
    72.983,   24.408,            0.000,
    73.026,   24.408,            0.000,
    73.069,   24.408,            0.000,
    73.105,   24.408,            0.000,
    73.148,   24.408,            0.000,
    73.191,   24.408,            0.000,
    73.233,   24.408,            0.000,
    73.275,   24.408,            0.000,
    73.313,   24.408,            0.000,
    73.358,   24.408,            0.000,
    73.400,   24.408,            0.000,
    73.438,   24.408,            0.000,
    73.483,   24.408,            0.000,
    73.523,   24.408,            0.000,
    73.564,   24.408,            0.000,
    73.604,   24.408,            0.000,
    73.649,   24.408,            0.000,
    73.694,   24.408,            0.000,
    73.733,   24.408,            0.000,
    73.777,   24.408,            0.000,
    73.817,   24.408,            0.000,
    73.857,   24.408,            0.000,
    73.898,   24.408,            0.000,
    73.940,   24.408,            0.000,
    73.980,   24.408,            0.000,
    74.027,   24.408,            0.000,
    74.067,   24.408,            0.000,
    74.107,   24.408,            0.000,
    74.147,   24.408,            0.000,
    74.189,   24.408,            0.000,
    74.239,   24.408,            0.000,
    74.271,   24.408,            0.000,
    74.314,   24.408,            0.000,
    74.355,   24.408,            0.000,
    74.400,   24.408,            0.000,
    74.443,   24.408,            0.000,
    74.481,   24.408,            0.000,
    74.525,   24.408,            0.000,
    74.573,   24.408,            0.000,
    74.605,   24.408,            0.000,
    74.647,   24.408,            0.000,
    74.689,   24.408,            0.000,
    74.729,   24.408,            0.000,
    74.773,   24.408,            0.000,
    74.815,   24.408,            0.000,
    74.863,   24.408,            0.000,
    74.899,   24.408,            0.000,
    74.945,   24.408,            0.000,
    74.980,   24.408,            0.000,
    75.025,   24.408,            0.000,
    75.064,   24.408,            0.000,
    75.106,   24.408,            0.000,
    75.146,   24.408,            0.000,
    75.189,   24.408,            0.000,
    75.233,   24.408,            0.000,
    75.278,   24.408,            0.000,
    75.317,   24.408,            0.000,
    75.357,   24.408,            0.000,
    75.400,   24.408,            0.000,
    75.439,   24.408,            0.000,
    75.482,   24.408,            0.000,
    75.525,   24.408,            0.000,
    75.570,   24.408,            0.000,
    75.609,   24.408,            0.000,
    75.652,   24.408,            0.000,
    75.695,   24.408,            0.000,
    75.732,   24.408,            0.000,
    75.776,   24.408,            0.000,
    75.814,   24.408,            0.000,
    75.861,   24.408,            0.000,
    75.901,   24.408,            0.000,
    75.947,   24.408,            0.000,
    75.981,   24.408,            0.000,
    76.024,   24.408,            0.000,
    76.065,   24.408,            0.000,
    76.107,   24.408,            0.000,
    76.147,   24.408,            0.000,
    76.189,   24.408,            0.000,
    76.230,   24.408,            0.000,
    76.271,   24.408,            0.000,
    76.313,   24.408,            0.000,
    76.356,   24.408,            0.000,
    76.400,   24.408,            0.000,
    76.440,   24.408,            0.000,
    76.484,   24.408,            0.000,
    76.530,   24.408,            0.000,
    76.563,   24.408,            0.000,
    76.606,   24.408,            0.000,
    76.650,   24.408,            0.000,
    76.688,   24.408,            0.000,
    76.730,   24.408,            0.000,
    76.773,   24.408,            0.000,
    76.823,   24.408,            0.000,
    76.858,   24.408,            0.000,
    76.897,   24.408,            0.000,
    76.940,   24.408,            0.000,
    76.979,   24.408,            0.000,
    77.026,   24.408,            0.000,
    77.067,   24.408,            0.000,
    77.112,   24.408,            0.000,
    77.148,   24.408,            0.000,
    77.193,   24.408,            0.000,
    77.232,   24.408,            0.000,
    77.272,   24.408,            0.000,
    77.321,   24.408,            0.000,
    77.365,   24.408,            0.000,
    77.407,   24.408,            0.000,
    77.448,   24.408,            0.000,
    77.486,   24.408,            0.000,
    77.521,   24.408,            0.000,
    77.563,   24.408,            0.000,
    77.610,   24.408,            0.000,
    77.646,   24.408,            0.000,
    77.690,   24.408,            0.000,
    77.731,   24.408,            0.000,
    77.779,   24.408,            0.000,
    77.813,   24.408,            0.000,
    77.856,   24.408,            0.000,
    77.900,   24.408,            0.000,
    77.943,   24.408,            0.000,
    77.983,   24.408,            0.000,
    78.023,   24.408,            0.000,
    78.064,   24.408,            0.000,
    78.112,   24.408,            0.000,
    78.156,   24.408,            0.000,
    78.199,   24.408,            0.000,
    78.237,   24.408,            0.000,
    78.277,   24.408,            0.000,
    78.313,   24.408,            0.000,
    78.359,   24.408,            0.000,
    78.404,   24.408,            0.000,
    78.438,   24.408,            0.000,
    78.483,   24.408,            0.000,
    78.523,   24.408,            0.000,
    78.563,   24.408,            0.000,
    78.609,   24.408,            0.000,
    78.655,   24.408,            0.000,
    78.691,   24.408,            0.000,
    78.739,   24.408,            0.000,
    78.772,   24.408,            0.000,
    78.815,   24.408,            0.000,
    78.857,   24.408,            0.000,
    78.899,   24.408,            0.000,
    78.942,   24.408,            0.000,
    78.981,   24.408,            0.000,
    79.023,   24.408,            0.000,
    79.064,   24.408,            0.000,
    79.105,   24.408,            0.000,
    79.149,   24.408,            0.000,
    79.189,   24.408,            0.000,
    79.230,   24.408,            0.000,
    79.274,   24.408,            0.000,
    79.322,   24.408,            0.000,
    79.357,   24.408,            0.000,
    79.397,   24.408,            0.000,
    79.442,   24.408,            0.000,
    79.482,   24.408,            0.000,
    79.522,   24.408,            0.000,
    79.566,   24.408,            0.000,
    79.606,   24.408,            0.000,
    79.653,   24.408,            0.000,
    79.694,   24.408,            0.000,
    79.738,   24.408,            0.000,
    79.773,   24.408,            0.000,
    79.813,   24.408,            0.000,
    79.858,   24.408,            0.000,
    79.902,   24.408,            0.000,
    79.940,   24.408,            0.000,
    79.980,   24.408,            0.000,
    80.021,   24.408,            0.000,
    80.064,   24.408,            0.000,
    80.105,   24.408,            0.000,
    80.149,   24.408,            0.000,
    80.189,   24.408,            0.000,
    80.239,   24.408,            0.000,
    80.277,   24.408,            0.000,
    80.321,   24.408,            0.000,
    80.361,   24.408,            0.000,
    80.404,   24.408,            0.000,
    80.445,   24.408,            0.000,
    80.486,   24.408,            0.000,
    80.529,   24.408,            0.000,
    80.573,   24.408,            0.000,
    80.614,   24.408,            0.000,
    80.646,   24.408,            0.000,
    80.692,   24.408,            0.000,
    80.737,   24.408,            0.000,
    80.772,   24.408,            0.000,
    80.820,   24.408,            0.000,
    80.855,   24.408,            0.000,
    80.903,   24.408,            0.000,
    80.943,   24.408,            0.000,
    80.982,   24.408,            0.000,
    81.032,   24.408,            0.000,
    81.067,   24.408,            0.000,
    81.108,   24.408,            0.000,
    81.155,   24.408,            0.000,
    81.194,   24.408,            0.000,
    81.232,   24.408,            0.000,
    81.276,   24.408,            0.000,
    81.314,   24.408,            0.000,
    81.357,   24.408,            0.000,
    81.398,   24.408,            0.000,
    81.440,   24.408,            0.000,
    81.483,   24.408,            0.000,
    81.523,   24.408,            0.000,
    81.563,   24.408,            0.000,
    81.606,   24.408,            0.000,
    81.647,   24.408,            0.000,
    81.692,   24.408,            0.000,
    81.731,   24.408,            0.000,
    81.771,   24.408,            0.000,
    81.815,   24.408,            0.000,
    81.859,   24.408,            0.000,
    81.898,   24.408,            0.000,
    81.939,   24.408,            0.000,
    81.984,   24.408,            0.000,
    82.025,   24.408,            0.000,
    82.065,   24.408,            0.000,
    82.108,   24.408,            0.000,
    82.148,   24.408,            0.000,
    82.192,   24.408,            0.000,
    82.236,   24.408,            0.000,
    82.280,   24.408,            0.000,
    82.316,   24.408,            0.000,
    82.357,   24.408,            0.000,
    82.400,   24.408,            0.000,
    82.447,   24.408,            0.000,
    82.481,   24.408,            0.000,
    82.522,   24.408,            0.000,
    82.568,   24.408,            0.000,
    82.607,   24.408,            0.000,
    82.651,   24.408,            0.000,
    82.688,   24.408,            0.000,
    82.733,   24.408,            0.000,
    82.778,   24.408,            0.000,
    82.816,   24.408,            0.000,
    82.858,   24.408,            0.000,
    82.901,   24.408,            0.000,
    82.943,   24.408,            0.000,
    82.983,   24.408,            0.000,
    83.024,   24.408,            0.000,
    83.066,   24.408,            0.000,
    83.107,   24.408,            0.000,
    83.151,   24.408,            0.000,
    83.194,   24.408,            0.000,
    83.230,   24.408,            0.000,
    83.274,   24.408,            0.000,
    83.318,   24.408,            0.000,
    83.360,   24.408,            0.000,
    83.404,   24.408,            0.000,
    83.447,   24.408,            0.000,
    83.485,   24.408,            0.000,
    83.526,   24.408,            0.000,
    83.563,   24.408,            0.000,
    83.614,   24.408,            0.000,
    83.646,   24.408,            0.000,
    83.689,   24.408,            0.000,
    83.731,   24.408,            0.000,
    83.780,   24.408,            0.000,
    83.819,   24.408,            0.000,
    83.864,   24.408,            0.000,
    83.898,   24.408,            0.000,
    83.942,   24.408,            0.000,
    83.987,   24.408,            0.000,
    84.025,   24.408,            0.000,
    84.065,   24.408,            0.000,
    84.116,   24.408,            0.000,
    84.148,   24.408,            0.000,
    84.190,   24.408,            0.000,
    84.232,   24.408,            0.000,
    84.274,   24.408,            0.000,
    84.316,   24.408,            0.000,
    84.357,   24.408,            0.000,
    84.399,   24.408,            0.000,
    84.442,   24.408,            0.000,
    84.485,   24.408,            0.000,
    84.529,   24.408,            0.000,
    84.564,   24.408,            0.000,
    84.606,   24.408,            0.000,
    84.652,   24.408,            0.000,
    84.694,   24.408,            0.000,
    84.737,   24.408,            0.000,
    84.780,   24.408,            0.000,
    84.814,   24.408,            0.000,
    84.861,   24.408,            0.000,
    84.904,   24.408,            0.000,
    84.938,   24.408,            0.000,
    84.982,   24.408,            0.000,
    85.024,   24.408,            0.000,
    85.067,   24.408,            0.000,
    85.111,   24.408,            0.000,
    85.153,   24.408,            0.000,
    85.199,   24.408,            0.000,
    85.235,   24.408,            0.000,
    85.271,   24.408,            0.000,
    85.317,   24.408,            0.000,
    85.362,   24.408,            0.000,
    85.399,   24.408,            0.000,
    85.440,   24.408,            0.000,
    85.487,   24.408,            0.000,
    85.528,   24.408,            0.000,
    85.563,   24.408,            0.000,
    85.607,   24.408,            0.000,
    85.647,   24.408,            0.000,
    85.693,   24.408,            0.000,
    85.731,   24.408,            0.000,
    85.774,   24.408,            0.000,
    85.814,   24.408,            0.000,
    85.858,   24.408,            0.000,
