JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
    62.258,   754.102,   708.901,     7.350,     0.000,     0.000,     0.001,     0.450,   118.524,  1204.309,     1.000,     7.350,  -178.129,     0.001,   228.204,   341.102,    30.640,    34.593,     0.000,
    62.292,   729.689,   708.901,     7.348,     0.000,     0.000,     4.265,     0.450,   118.524,  1204.309,     1.000,     7.348,  -175.707,     4.024,   228.204,   341.092,    31.395,    35.448,     0.000,
    62.338,   521.061,   708.903,     7.346,     0.000,     0.000,    35.911,     0.450,   118.526,  1204.309,     1.000,     7.346,  -140.511,    33.878,   231.933,   341.081,    31.412,    33.830,     0.000,
    62.384,   838.024,   708.904,     7.344,     0.000,     0.000,    74.711,     0.450,   118.527,  1204.309,     1.000,     7.344,  -101.197,    70.482,   235.866,   341.073,    33.857,    32.615,     0.000,
    62.417,   528.355,   708.904,     7.343,     0.000,     0.000,   142.842,     0.450,   118.527,  1204.309,     1.000,     7.343,    -8.002,   134.756,   241.527,   341.070,    23.843,    19.373,     0.000,
    62.464,   537.509,   708.905,     7.343,     0.000,     0.000,   232.078,     0.450,   118.528,  1204.309,     1.000,     7.344,    84.939,   218.942,   244.371,   341.093,    21.765,    15.517,     0.000,
    62.509,   783.974,   708.906,     7.343,     0.000,     0.000,   256.983,     0.450,   118.529,  1204.309,     1.000,     7.345,   112.016,   242.437,   246.656,   341.187,    21.841,    14.049,     0.000,
    62.542,   647.595,   708.907,     7.343,     0.000,     0.000,   293.837,     0.450,   118.530,  1204.309,     1.000,     7.346,   139.880,   277.205,   244.686,   341.308,    24.296,    16.407,     0.000,
    62.592,   776.993,   708.908,     7.343,     0.000,     0.000,   239.032,     0.450,   118.531,  1204.309,     1.000,     7.347,    87.293,   225.502,   244.371,   341.450,    24.222,    16.907,     0.000,
    62.633,   753.747,   708.909,     7.343,     0.000,     0.000,   295.831,     0.450,   118.532,  1204.309,     1.000,     7.348,   133.401,   279.086,   244.371,   341.534,    29.384,    19.137,     0.000,
    62.667,   718.150,   708.909,     7.342,     0.000,     0.000,   142.783,     0.450,   118.532,  1204.309,     1.000,     7.348,   -10.466,   134.701,   244.371,   341.545,    28.844,    19.148,     0.000,
