$WITHDRAWAL AT SEG52                                         ELEV OF WITHDRAWAL CENTERLINE:609.     

JDAY,T(C)
    61.042,  -99.00
    61.068,  -99.00
    61.108,  -99.00
    61.150,  -99.00
    61.202,  -99.00
    61.234,  -99.00
    61.272,  -99.00
    61.314,  -99.00
    61.361,  -99.00
    61.398,  -99.00
    61.439,  -99.00
    61.481,  -99.00
    61.524,  -99.00
    61.565,  -99.00
    61.607,  -99.00
    61.646,  -99.00
    61.692,  -99.00
    61.737,  -99.00
    61.772,  -99.00
    61.816,  -99.00
    61.858,  -99.00
    61.901,  -99.00
    61.943,  -99.00
    61.983,  -99.00
    62.022,  -99.00
    62.064,  -99.00
    62.107,  -99.00
    62.148,  -99.00
    62.192,  -99.00
    62.235,  -99.00
    62.276,  -99.00
    62.320,  -99.00
    62.358,  -99.00
    62.403,  -99.00
    62.445,  -99.00
    62.484,  -99.00
    62.527,  -99.00
    62.567,  -99.00
    62.610,  -99.00
    62.651,  -99.00
    62.694,  -99.00
    62.736,  -99.00
    62.775,  -99.00
    62.813,  -99.00
    62.866,  -99.00
    62.898,  -99.00
    62.948,  -99.00
    62.983,  -99.00
    63.028,  -99.00
    63.064,  -99.00
    63.111,  -99.00
    63.151,  -99.00
    63.192,  -99.00
    63.237,  -99.00
    63.274,  -99.00
    63.320,  -99.00
    63.359,  -99.00
    63.402,  -99.00
    63.439,  -99.00
    63.479,  -99.00
    63.522,  -99.00
    63.563,  -99.00
    63.607,  -99.00
    63.646,  -99.00
    63.693,  -99.00
    63.732,  -99.00
    63.772,  -99.00
    63.816,  -99.00
    63.862,  -99.00
    63.901,  -99.00
    63.938,  -99.00
    63.980,  -99.00
    64.025,  -99.00
    64.066,  -99.00
    64.111,  -99.00
    64.157,  -99.00
    64.194,  -99.00
    64.238,  -99.00
    64.279,  -99.00
    64.320,  -99.00
    64.360,  -99.00
    64.400,  -99.00
    64.445,  -99.00
    64.490,  -99.00
    64.521,  -99.00
    64.563,  -99.00
    64.613,  -99.00
    64.651,  -99.00
    64.693,  -99.00
    64.740,  -99.00
    64.772,  -99.00
    64.815,  -99.00
    64.857,  -99.00
    64.900,  -99.00
    64.942,  -99.00
    64.986,  -99.00
    65.027,  -99.00
    65.067,  -99.00
    65.107,  -99.00
    65.149,  -99.00
    65.197,  -99.00
    65.233,  -99.00
    65.276,  -99.00
    65.314,  -99.00
    65.355,  -99.00
    65.397,  -99.00
    65.445,  -99.00
    65.484,  -99.00
    65.523,  -99.00
    65.564,  -99.00
    65.610,  -99.00
    65.648,  -99.00
    65.695,  -99.00
    65.733,  -99.00
    65.773,  -99.00
    65.815,  -99.00
    65.859,  -99.00
    65.897,  -99.00
    65.945,  -99.00
    65.983,  -99.00
    66.022,  -99.00
    66.063,  -99.00
    66.106,  -99.00
    66.147,  -99.00
    66.195,  -99.00
    66.230,  -99.00
    66.276,  -99.00
    66.315,  -99.00
    66.354,  -99.00
    66.397,  -99.00
    66.444,  -99.00
    66.481,  -99.00
    66.526,  -99.00
    66.563,  -99.00
    66.604,  -99.00
    66.646,  -99.00
    66.693,  -99.00
    66.730,  -99.00
    66.772,  -99.00
    66.815,  -99.00
    66.865,  -99.00
    66.896,  -99.00
    66.938,  -99.00
    66.981,  -99.00
    67.024,  -99.00
    67.063,  -99.00
    67.106,  -99.00
    67.150,  -99.00
    67.196,  -99.00
    67.231,  -99.00
    67.276,  -99.00
    67.314,  -99.00
    67.357,  -99.00
    67.399,  -99.00
    67.439,  -99.00
    67.482,  -99.00
    67.521,  -99.00
    67.563,  -99.00
    67.605,  -99.00
    67.646,  -99.00
    67.690,  -99.00
    67.730,  -99.00
    67.772,  -99.00
    67.816,  -99.00
    67.855,  -99.00
    67.898,  -99.00
    67.938,  -99.00
    67.984,  -99.00
    68.022,  -99.00
    68.064,  -99.00
    68.106,  -99.00
    68.148,  -99.00
    68.188,  -99.00
    68.232,  -99.00
    68.275,  -99.00
    68.317,  -99.00
    68.354,  -99.00
    68.398,  -99.00
    68.438,  -99.00
    68.483,  -99.00
    68.525,  -99.00
    68.568,  -99.00
    68.606,  -99.00
    68.648,  -99.00
    68.691,  -99.00
    68.732,  -99.00
    68.772,  -99.00
    68.814,  -99.00
    68.861,  -99.00
    68.897,  -99.00
    68.938,  -99.00
    68.986,  -99.00
    69.021,  -99.00
    69.064,  -99.00
    69.106,  -99.00
    69.147,  -99.00
    69.190,  -99.00
    69.231,  -99.00
    69.273,  -99.00
    69.315,  -99.00
    69.355,  -99.00
    69.401,  -99.00
    69.439,  -99.00
    69.482,  -99.00
    69.522,  -99.00
    69.564,  -99.00
    69.605,  -99.00
    69.648,  -99.00
    69.688,  -99.00
    69.731,  -99.00
    69.776,  -99.00
    69.818,  -99.00
    69.859,  -99.00
    69.902,  -99.00
    69.944,  -99.00
    69.979,  -99.00
    70.025,  -99.00
    70.063,  -99.00
    70.104,  -99.00
    70.147,  -99.00
    70.190,  -99.00
    70.231,  -99.00
    70.274,  -99.00
    70.314,  -99.00
    70.356,  -99.00
    70.401,  -99.00
    70.444,  -99.00
    70.483,  -99.00
    70.525,  -99.00
    70.565,  -99.00
    70.608,  -99.00
    70.649,  -99.00
    70.690,  -99.00
    70.731,  -99.00
    70.772,  -99.00
    70.814,  -99.00
    70.854,  -99.00
    70.896,  -99.00
    70.938,  -99.00
    70.980,  -99.00
    71.022,  -99.00
    71.065,  -99.00
    71.107,  -99.00
    71.146,  -99.00
    71.193,  -99.00
    71.237,  -99.00
    71.279,  -99.00
    71.320,  -99.00
    71.360,  -99.00
    71.401,  -99.00
    71.443,  -99.00
    71.483,  -99.00
    71.525,  -99.00
    71.567,  -99.00
    71.607,  -99.00
    71.649,  -99.00
    71.691,  -99.00
    71.732,  -99.00
    71.775,  -99.00
    71.814,  -99.00
    71.855,  -99.00
    71.901,  -99.00
    71.943,  -99.00
    71.983,  -99.00
    72.025,  -99.00
    72.063,  -99.00
    72.104,  -99.00
    72.146,  -99.00
    72.188,  -99.00
    72.230,  -99.00
    72.272,  -99.00
    72.315,  -99.00
    72.354,  -99.00
    72.397,  -99.00
    72.442,  -99.00
    72.481,  -99.00
    72.524,  -99.00
    72.567,  -99.00
    72.608,  -99.00
    72.648,  -99.00
    72.690,  -99.00
    72.737,  -99.00
    72.774,  -99.00
    72.820,  -99.00
    72.857,  -99.00
    72.896,  -99.00
    72.941,  -99.00
    72.983,  -99.00
    73.026,  -99.00
    73.069,  -99.00
    73.105,  -99.00
    73.148,  -99.00
    73.191,  -99.00
    73.233,  -99.00
    73.275,  -99.00
    73.313,  -99.00
    73.358,  -99.00
    73.400,  -99.00
    73.438,  -99.00
    73.483,  -99.00
    73.523,  -99.00
    73.564,  -99.00
    73.604,  -99.00
    73.649,  -99.00
    73.694,  -99.00
    73.733,  -99.00
    73.777,  -99.00
    73.817,  -99.00
    73.857,  -99.00
    73.898,  -99.00
    73.940,  -99.00
    73.980,  -99.00
    74.027,  -99.00
    74.067,  -99.00
    74.107,  -99.00
    74.147,  -99.00
    74.189,  -99.00
    74.239,  -99.00
    74.271,  -99.00
    74.314,  -99.00
    74.355,  -99.00
    74.400,  -99.00
    74.443,  -99.00
    74.481,  -99.00
    74.525,  -99.00
    74.573,  -99.00
    74.605,  -99.00
    74.647,  -99.00
    74.689,  -99.00
    74.729,  -99.00
    74.773,  -99.00
    74.815,  -99.00
    74.863,  -99.00
    74.899,  -99.00
    74.945,  -99.00
    74.980,  -99.00
    75.025,  -99.00
    75.064,  -99.00
    75.106,  -99.00
    75.146,  -99.00
    75.189,  -99.00
    75.233,  -99.00
    75.278,  -99.00
    75.317,  -99.00
    75.357,  -99.00
    75.400,  -99.00
    75.439,  -99.00
    75.482,  -99.00
    75.525,  -99.00
    75.570,  -99.00
    75.609,  -99.00
    75.652,  -99.00
    75.695,  -99.00
    75.732,  -99.00
    75.776,  -99.00
    75.814,  -99.00
