JDAY,SEG   2,SEG   3,SEG   4,SEG   5,SEG   6,SEG   7,SEG   8,SEG   9,SEG  10,SEG  11,SEG  12,SEG  13,SEG  14,SEG  15,SEG  16,SEG  17,SEG  18,SEG  19,SEG  20,SEG  21,SEG  22,SEG  23,SEG  24,SEG  25,SEG  26,SEG  27,SEG  28,SEG  29,SEG  30,SEG  31,SEG  32,SEG  33,SEG  34,SEG  35,SEG  36,SEG  37,SEG  38,SEG  39,SEG  40,SEG  41,SEG  42,SEG  43,SEG  44,SEG  45,SEG  46,SEG  47,SEG  48,SEG  49,SEG  50,SEG  51,SEG  52,SEG  55,SEG  56,SEG  57,SEG  58,SEG  61,SEG  62,SEG  63,SEG  64,SEG  65,SEG  66,SEG  67,SEG  68,SEG  69,SEG  70,SEG  73,SEG  74,SEG  75,SEG  76,SEG  77,SEG  78,SEG  79,SEG  80,SEG  81,SEG  82,SEG
    61.417, 708.882, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.874, 708.883, 708.883, 708.883, 708.882, 708.882, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883, 708.883,
    61.466, 708.883, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.883, 708.883, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.874, 708.883, 708.883, 708.884, 708.883, 708.883, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884,
    61.508, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.874, 708.884, 708.884, 708.884, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.884, 708.884, 708.884, 708.885, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884, 708.884,
    61.542, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.874, 708.885, 708.885, 708.886, 708.886, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885, 708.885,
    61.588, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.874, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886, 708.886,
    61.631, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.874, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887, 708.887,
    61.667, 708.887, 708.887, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.874, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888, 708.888,
    61.717, 708.888, 708.888, 708.888, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.874, 708.889, 708.889, 708.889, 708.888, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889, 708.889,
    61.757, 708.889, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.874, 708.890, 708.890, 708.890, 708.889, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890, 708.890,
    61.792, 708.890, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.874, 708.891, 708.891, 708.891, 708.890, 708.890, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891, 708.891,
