$Combined output for files: 1, 2, 3, 4, 5, 6

JDAY,TEMP-AIR,TEMP-DEWPOINT,SPEED-WIND,DIR-WIND-RADIANS,%-CLOUD COVER,IRRAD-SOLAR
65.458,11.57,0.66,1.00,0.63,0.92,561.82
65.500,15.46,1.59,0.00,5.52,1.00,639.44
65.542,17.68,-3.11,2.00,2.18,1.08,639.65
65.583,18.24,-5.74,2.00,0.94,1.17,618.77
65.625,18.24,-7.19,3.00,2.78,1.25,309.85
65.667,17.68,-7.64,5.00,2.30,1.33,259.87
65.708,16.01,-8.27,4.00,2.39,1.42,175.96
65.750,14.35,-5.93,5.00,1.08,1.50,14.99
65.792,12.68,-6.30,3.00,6.09,1.58,0.00
65.833,10.46,-3.95,5.00,5.64,1.67,0.00
65.875,8.79,-2.47,6.00,5.57,1.75,0.00
65.917,8.24,-1.82,5.00,5.57,1.83,0.00
65.958,8.24,-2.97,5.00,5.67,1.92,0.00
66.000,7.68,-2.62,5.00,5.60,2.00,0.00
66.042,7.12,-2.85,4.00,5.57,2.17,0.00
66.083,7.68,-2.90,4.00,5.48,2.33,0.00
66.125,6.01,-3.08,5.00,5.57,2.50,0.00
66.167,5.46,-2.13,6.00,5.52,2.67,0.00
66.208,7.12,-2.58,5.00,5.43,2.83,0.00
66.250,5.46,-1.22,1.00,1.61,3.00,0.00
66.292,5.46,-1.45,3.00,5.83,3.17,11.04
66.333,6.01,-1.85,6.00,5.85,3.33,31.03
66.375,8.24,1.18,1.00,3.00,3.50,170.96
66.417,9.90,1.04,4.00,5.81,3.67,263.94
66.458,12.68,1.67,2.00,6.07,3.83,327.86
66.500,14.35,-1.28,4.00,0.26,4.00,375.86
66.542,15.46,-1.57,8.00,1.97,4.17,560.77
66.583,15.46,-2.01,10.00,2.22,4.33,644.75
66.625,13.24,-1.49,5.00,2.50,4.50,200.95
66.667,13.79,0.09,5.00,1.90,4.67,180.96
66.708,12.12,1.16,9.00,2.27,4.83,51.02
66.750,11.57,2.33,5.00,2.50,5.00,3.95
66.792,10.46,3.04,4.00,2.88,5.17,0.00
66.833,8.79,7.08,1.00,0.70,5.33,0.00
66.875,7.12,7.11,4.00,6.07,5.50,0.00
66.917,7.12,7.11,5.00,5.45,5.67,0.00
66.958,7.12,7.11,3.00,5.62,5.83,0.00
67.000,7.12,7.11,2.00,4.61,6.00,0.00
